"date","location_name","value","location"
"2025-11-08","Maryland",0.0036,"24"
"2025-11-08","Mississippi",0.0064,"28"
"2025-11-08","New Mexico",0.0024,"35"
"2025-11-08","South Carolina",0.0028,"45"
"2025-11-08","US",0.0042,"US"
"2025-11-08","Utah",0.0053,"49"
"2025-11-08","Virginia",0.003,"51"
"2025-11-08","Washington",0.0028,"53"
"2025-11-08","Alaska",0.0021,"02"
"2025-11-08","California",0.0023,"06"
"2025-11-08","District of Columbia",0.0014,"11"
"2025-11-08","Minnesota",0.002,"27"
"2025-11-08","Pennsylvania",0.0015,"42"
"2025-11-08","Wisconsin",0.0013,"55"
"2025-11-08","Connecticut",0.0021,"09"
"2025-11-08","Delaware",0.0018,"10"
"2025-11-08","Illinois",0.0023,"17"
"2025-11-08","Maine",0.0017,"23"
"2025-11-08","Nebraska",3e-04,"31"
"2025-11-08","Nevada",0.0026,"32"
"2025-11-08","New York",0.0035,"36"
"2025-11-08","North Carolina",0.0098,"37"
"2025-11-08","Oklahoma",0.0013,"40"
"2025-11-08","Oregon",0.0021,"41"
"2025-11-08","South Dakota",5e-04,"46"
"2025-11-08","Tennessee",0.0033,"47"
"2025-11-08","West Virginia",7e-04,"54"
"2025-11-08","Wyoming",0,"56"
"2025-11-08","Alabama",0.0044,"01"
"2025-11-08","Arizona",0.0014,"04"
"2025-11-08","Arkansas",0.0027,"05"
"2025-11-08","Colorado",0.0057,"08"
"2025-11-08","Florida",0.0095,"12"
"2025-11-08","Georgia",0.0034,"13"
"2025-11-08","Hawaii",0.0168,"15"
"2025-11-08","Idaho",0.0036,"16"
"2025-11-08","Indiana",0.0017,"18"
"2025-11-08","Louisiana",0.0112,"22"
"2025-11-08","Massachusetts",0.0016,"25"
"2025-11-08","Michigan",0.0021,"26"
"2025-11-08","Montana",0.0017,"30"
"2025-11-08","New Hampshire",0.0023,"33"
"2025-11-08","New Jersey",0.0039,"34"
"2025-11-08","North Dakota",0.0011,"38"
"2025-11-08","Ohio",0.0015,"39"
"2025-11-08","Rhode Island",0.0018,"44"
"2025-11-08","Texas",0.0086,"48"
"2025-11-08","Vermont",0.0034,"50"
"2025-11-01","Alabama",0.0038,"01"
"2025-11-01","California",0.0019,"06"
"2025-11-01","Florida",0.0071,"12"
"2025-11-01","Indiana",0.0012,"18"
"2025-11-01","Nebraska",4e-04,"31"
"2025-11-01","New Jersey",0.0029,"34"
"2025-11-01","New Mexico",0.002,"35"
"2025-11-01","Rhode Island",0.0023,"44"
"2025-11-01","Wisconsin",0.001,"55"
"2025-11-01","Alaska",0.0012,"02"
"2025-11-01","Colorado",0.0023,"08"
"2025-11-01","Connecticut",0.0013,"09"
"2025-11-01","Delaware",0.0017,"10"
"2025-11-01","District of Columbia",0.0012,"11"
"2025-11-01","Idaho",0.0022,"16"
"2025-11-01","Illinois",0.0014,"17"
"2025-11-01","Louisiana",0.0084,"22"
"2025-11-01","Maryland",0.0025,"24"
"2025-11-01","Michigan",0.001,"26"
"2025-11-01","North Carolina",0.0075,"37"
"2025-11-01","Ohio",0.001,"39"
"2025-11-01","Oklahoma",0.0013,"40"
"2025-11-01","South Dakota",5e-04,"46"
"2025-11-01","Tennessee",0.0026,"47"
"2025-11-01","Vermont",0.0018,"50"
"2025-11-01","Virginia",0.0016,"51"
"2025-11-01","West Virginia",0.0011,"54"
"2025-11-01","Massachusetts",0.0013,"25"
"2025-11-01","Minnesota",0.0013,"27"
"2025-11-01","Mississippi",0.0031,"28"
"2025-11-01","Montana",8e-04,"30"
"2025-11-01","New Hampshire",0.0016,"33"
"2025-11-01","New York",0.0017,"36"
"2025-11-01","North Dakota",7e-04,"38"
"2025-11-01","Oregon",0.0012,"41"
"2025-11-01","South Carolina",0.0019,"45"
"2025-11-01","Texas",0.005,"48"
"2025-11-01","US",0.0028,"US"
"2025-11-01","Wyoming",0,"56"
"2025-11-01","Arizona",0.0011,"04"
"2025-11-01","Arkansas",0.0015,"05"
"2025-11-01","Georgia",0.0026,"13"
"2025-11-01","Hawaii",0.0115,"15"
"2025-11-01","Iowa",0.0011,"19"
"2025-11-01","Kansas",0.0011,"20"
"2025-11-01","Kentucky",0.0015,"21"
"2025-11-01","Maine",0.0013,"23"
"2025-11-01","Nevada",0.0018,"32"
"2025-11-01","Pennsylvania",0.001,"42"
"2025-11-01","Utah",0.0013,"49"
"2025-11-01","Washington",0.0025,"53"
"2025-10-25","Delaware",8e-04,"10"
"2025-10-25","Florida",0.0061,"12"
"2025-10-25","Hawaii",0.0073,"15"
"2025-10-25","Mississippi",0.0022,"28"
"2025-10-25","New Jersey",0.0018,"34"
"2025-10-25","New Mexico",0.0015,"35"
"2025-10-25","Oregon",0.0012,"41"
"2025-10-25","Pennsylvania",8e-04,"42"
"2025-10-25","Texas",0.0037,"48"
"2025-10-25","Virginia",0.0015,"51"
"2025-10-25","Wisconsin",9e-04,"55"
"2025-10-25","Alabama",0.0029,"01"
"2025-10-25","Alaska",0.0029,"02"
"2025-10-25","Arkansas",9e-04,"05"
"2025-10-25","Connecticut",0.001,"09"
"2025-10-25","District of Columbia",0.0014,"11"
"2025-10-25","Georgia",0.0019,"13"
"2025-10-25","Kentucky",0.0012,"21"
"2025-10-25","Louisiana",0.0062,"22"
"2025-10-25","Massachusetts",9e-04,"25"
"2025-10-25","Michigan",8e-04,"26"
"2025-10-25","New York",0.0012,"36"
"2025-10-25","North Carolina",0.0073,"37"
"2025-10-25","South Carolina",0.0014,"45"
"2025-10-25","West Virginia",0.001,"54"
"2025-10-25","Arizona",9e-04,"04"
"2025-10-25","California",0.0015,"06"
"2025-10-25","Colorado",0.0017,"08"
"2025-10-25","Idaho",7e-04,"16"
"2025-10-25","Illinois",0.001,"17"
"2025-10-25","Iowa",6e-04,"19"
"2025-10-25","Maine",7e-04,"23"
"2025-10-25","Nevada",0.0017,"32"
"2025-10-25","New Hampshire",0.0014,"33"
"2025-10-25","North Dakota",5e-04,"38"
"2025-10-25","Ohio",6e-04,"39"
"2025-10-25","South Dakota",0.001,"46"
"2025-10-25","US",0.0023,"US"
"2025-10-25","Washington",0.0023,"53"
"2025-10-25","Indiana",7e-04,"18"
"2025-10-25","Kansas",0.001,"20"
"2025-10-25","Maryland",0.0018,"24"
"2025-10-25","Minnesota",9e-04,"27"
"2025-10-25","Montana",5e-04,"30"
"2025-10-25","Nebraska",3e-04,"31"
"2025-10-25","Oklahoma",0.0012,"40"
"2025-10-25","Rhode Island",8e-04,"44"
"2025-10-25","Tennessee",0.002,"47"
"2025-10-25","Utah",0.0014,"49"
"2025-10-25","Vermont",7e-04,"50"
"2025-10-25","Wyoming",0,"56"
"2025-10-18","Alabama",0.0025,"01"
"2025-10-18","Arizona",7e-04,"04"
"2025-10-18","Delaware",8e-04,"10"
"2025-10-18","Florida",0.0056,"12"
"2025-10-18","Georgia",0.0013,"13"
"2025-10-18","Mississippi",0.0022,"28"
"2025-10-18","New York",8e-04,"36"
"2025-10-18","Oregon",9e-04,"41"
"2025-10-18","Pennsylvania",6e-04,"42"
"2025-10-18","Rhode Island",8e-04,"44"
"2025-10-18","Tennessee",0.0016,"47"
"2025-10-18","Virginia",0.0012,"51"
"2025-10-18","Colorado",8e-04,"08"
"2025-10-18","Illinois",8e-04,"17"
"2025-10-18","Iowa",5e-04,"19"
"2025-10-18","Maine",7e-04,"23"
"2025-10-18","New Hampshire",9e-04,"33"
"2025-10-18","New Mexico",0.0013,"35"
"2025-10-18","Oklahoma",5e-04,"40"
"2025-10-18","South Dakota",5e-04,"46"
"2025-10-18","Utah",0.0016,"49"
"2025-10-18","West Virginia",6e-04,"54"
"2025-10-18","California",0.0013,"06"
"2025-10-18","District of Columbia",0.0012,"11"
"2025-10-18","Idaho",0.0012,"16"
"2025-10-18","Indiana",0.001,"18"
"2025-10-18","Louisiana",0.0054,"22"
"2025-10-18","Massachusetts",8e-04,"25"
"2025-10-18","Michigan",7e-04,"26"
"2025-10-18","Nebraska",1e-04,"31"
"2025-10-18","New Jersey",0.0018,"34"
"2025-10-18","North Carolina",0.0064,"37"
"2025-10-18","North Dakota",0,"38"
"2025-10-18","Ohio",6e-04,"39"
"2025-10-18","Vermont",5e-04,"50"
"2025-10-18","Wisconsin",0.0011,"55"
"2025-10-18","Alaska",0.0018,"02"
"2025-10-18","Arkansas",9e-04,"05"
"2025-10-18","Connecticut",6e-04,"09"
"2025-10-18","Hawaii",0.0057,"15"
"2025-10-18","Kansas",9e-04,"20"
"2025-10-18","Kentucky",9e-04,"21"
"2025-10-18","Maryland",0.0012,"24"
"2025-10-18","Minnesota",8e-04,"27"
"2025-10-18","Montana",7e-04,"30"
"2025-10-18","Nevada",0.0014,"32"
"2025-10-18","South Carolina",0.0013,"45"
"2025-10-18","Texas",0.0036,"48"
"2025-10-18","US",0.002,"US"
"2025-10-18","Washington",0.0016,"53"
"2025-10-18","Wyoming",0,"56"
"2025-10-11","California",0.0014,"06"
"2025-10-11","Colorado",0.0011,"08"
"2025-10-11","District of Columbia",0.0012,"11"
"2025-10-11","Hawaii",0.0038,"15"
"2025-10-11","Iowa",6e-04,"19"
"2025-10-11","Maryland",9e-04,"24"
"2025-10-11","Massachusetts",7e-04,"25"
"2025-10-11","New Hampshire",0.0013,"33"
"2025-10-11","New Jersey",0.0017,"34"
"2025-10-11","New Mexico",8e-04,"35"
"2025-10-11","New York",5e-04,"36"
"2025-10-11","North Carolina",0.0062,"37"
"2025-10-11","South Dakota",0.0013,"46"
"2025-10-11","Tennessee",0.0016,"47"
"2025-10-11","US",0.0018,"US"
"2025-10-11","Vermont",0,"50"
"2025-10-11","Alabama",0.0022,"01"
"2025-10-11","Alaska",0.0021,"02"
"2025-10-11","Arizona",0.0011,"04"
"2025-10-11","Delaware",0.001,"10"
"2025-10-11","Georgia",8e-04,"13"
"2025-10-11","Idaho",9e-04,"16"
"2025-10-11","Indiana",8e-04,"18"
"2025-10-11","Kentucky",0.0011,"21"
"2025-10-11","Maine",8e-04,"23"
"2025-10-11","Minnesota",8e-04,"27"
"2025-10-11","North Dakota",3e-04,"38"
"2025-10-11","Oklahoma",6e-04,"40"
"2025-10-11","Oregon",6e-04,"41"
"2025-10-11","South Carolina",0.0012,"45"
"2025-10-11","West Virginia",4e-04,"54"
"2025-10-11","Wisconsin",6e-04,"55"
"2025-10-11","Arkansas",5e-04,"05"
"2025-10-11","Connecticut",8e-04,"09"
"2025-10-11","Illinois",9e-04,"17"
"2025-10-11","Kansas",0.0014,"20"
"2025-10-11","Louisiana",0.0043,"22"
"2025-10-11","Michigan",6e-04,"26"
"2025-10-11","Nebraska",3e-04,"31"
"2025-10-11","Nevada",0.0015,"32"
"2025-10-11","Pennsylvania",7e-04,"42"
"2025-10-11","Rhode Island",7e-04,"44"
"2025-10-11","Utah",0.0018,"49"
"2025-10-11","Virginia",0.0011,"51"
"2025-10-11","Washington",0.0016,"53"
"2025-10-11","Florida",0.005,"12"
"2025-10-11","Mississippi",0.0024,"28"
"2025-10-11","Montana",0.0016,"30"
"2025-10-11","Ohio",7e-04,"39"
"2025-10-11","Texas",0.0029,"48"
"2025-10-11","Wyoming",0,"56"
"2025-10-04","Alabama",0.0025,"01"
"2025-10-04","Arizona",9e-04,"04"
"2025-10-04","California",0.0015,"06"
"2025-10-04","Colorado",0.0011,"08"
"2025-10-04","Delaware",0.001,"10"
"2025-10-04","Florida",0.0041,"12"
"2025-10-04","Idaho",0.0014,"16"
"2025-10-04","Illinois",7e-04,"17"
"2025-10-04","Maine",0.0014,"23"
"2025-10-04","Montana",6e-04,"30"
"2025-10-04","New Hampshire",0.0015,"33"
"2025-10-04","North Dakota",4e-04,"38"
"2025-10-04","Rhode Island",8e-04,"44"
"2025-10-04","Vermont",8e-04,"50"
"2025-10-04","Virginia",0.001,"51"
"2025-10-04","Alaska",0.0013,"02"
"2025-10-04","Arkansas",8e-04,"05"
"2025-10-04","Hawaii",0.002,"15"
"2025-10-04","Nebraska",1e-04,"31"
"2025-10-04","New Jersey",0.0013,"34"
"2025-10-04","North Carolina",0.0066,"37"
"2025-10-04","Oklahoma",8e-04,"40"
"2025-10-04","Oregon",9e-04,"41"
"2025-10-04","Pennsylvania",8e-04,"42"
"2025-10-04","Utah",0.0018,"49"
"2025-10-04","Wyoming",0,"56"
"2025-10-04","Connecticut",6e-04,"09"
"2025-10-04","District of Columbia",0.0013,"11"
"2025-10-04","Maryland",0.0011,"24"
"2025-10-04","Massachusetts",6e-04,"25"
"2025-10-04","Michigan",4e-04,"26"
"2025-10-04","Minnesota",0.0011,"27"
"2025-10-04","Nevada",0.0013,"32"
"2025-10-04","Ohio",8e-04,"39"
"2025-10-04","South Dakota",5e-04,"46"
"2025-10-04","Tennessee",0.0016,"47"
"2025-10-04","Texas",0.0028,"48"
"2025-10-04","West Virginia",6e-04,"54"
"2025-10-04","Wisconsin",8e-04,"55"
"2025-10-04","Georgia",8e-04,"13"
"2025-10-04","Indiana",7e-04,"18"
"2025-10-04","Iowa",7e-04,"19"
"2025-10-04","Kansas",9e-04,"20"
"2025-10-04","Kentucky",0.0014,"21"
"2025-10-04","Louisiana",0.0032,"22"
"2025-10-04","Mississippi",0.0019,"28"
"2025-10-04","New Mexico",0.0012,"35"
"2025-10-04","New York",6e-04,"36"
"2025-10-04","South Carolina",0.0016,"45"
"2025-10-04","US",0.0017,"US"
"2025-10-04","Washington",0.0011,"53"
"2025-09-27","Alaska",0.0023,"02"
"2025-09-27","Arizona",7e-04,"04"
"2025-09-27","District of Columbia",5e-04,"11"
"2025-09-27","Michigan",4e-04,"26"
"2025-09-27","Mississippi",0.0019,"28"
"2025-09-27","Nebraska",2e-04,"31"
"2025-09-27","New Jersey",0.0013,"34"
"2025-09-27","New Mexico",9e-04,"35"
"2025-09-27","North Dakota",4e-04,"38"
"2025-09-27","Rhode Island",7e-04,"44"
"2025-09-27","Tennessee",0.0016,"47"
"2025-09-27","Utah",0.0016,"49"
"2025-09-27","Virginia",8e-04,"51"
"2025-09-27","Washington",0.0014,"53"
"2025-09-27","Wisconsin",8e-04,"55"
"2025-09-27","California",0.0011,"06"
"2025-09-27","Connecticut",8e-04,"09"
"2025-09-27","Florida",0.0036,"12"
"2025-09-27","Indiana",4e-04,"18"
"2025-09-27","Massachusetts",0.001,"25"
"2025-09-27","Minnesota",0.0012,"27"
"2025-09-27","Nevada",0.0012,"32"
"2025-09-27","South Carolina",0.0017,"45"
"2025-09-27","South Dakota",3e-04,"46"
"2025-09-27","Vermont",0,"50"
"2025-09-27","Alabama",0.0019,"01"
"2025-09-27","Arkansas",0.0011,"05"
"2025-09-27","Colorado",0.001,"08"
"2025-09-27","Delaware",4e-04,"10"
"2025-09-27","Hawaii",0.0026,"15"
"2025-09-27","Iowa",4e-04,"19"
"2025-09-27","Kansas",0.0012,"20"
"2025-09-27","Kentucky",0.0016,"21"
"2025-09-27","New Hampshire",0.0018,"33"
"2025-09-27","Oklahoma",8e-04,"40"
"2025-09-27","Pennsylvania",7e-04,"42"
"2025-09-27","US",0.0016,"US"
"2025-09-27","Wyoming",0,"56"
"2025-09-27","Georgia",9e-04,"13"
"2025-09-27","Idaho",7e-04,"16"
"2025-09-27","Illinois",6e-04,"17"
"2025-09-27","Louisiana",0.0027,"22"
"2025-09-27","Maine",6e-04,"23"
"2025-09-27","Maryland",0.001,"24"
"2025-09-27","Montana",6e-04,"30"
"2025-09-27","New York",7e-04,"36"
"2025-09-27","North Carolina",0.0074,"37"
"2025-09-27","Ohio",4e-04,"39"
"2025-09-27","Oregon",5e-04,"41"
"2025-09-27","Texas",0.0026,"48"
"2025-09-27","West Virginia",9e-04,"54"
"2025-09-20","Connecticut",9e-04,"09"
"2025-09-20","Florida",0.0033,"12"
"2025-09-20","Hawaii",0.0026,"15"
"2025-09-20","Idaho",8e-04,"16"
"2025-09-20","Kansas",6e-04,"20"
"2025-09-20","Kentucky",6e-04,"21"
"2025-09-20","North Dakota",3e-04,"38"
"2025-09-20","South Dakota",3e-04,"46"
"2025-09-20","Wyoming",0,"56"
"2025-09-20","Alabama",0.002,"01"
"2025-09-20","Arkansas",9e-04,"05"
"2025-09-20","Georgia",7e-04,"13"
"2025-09-20","Maine",9e-04,"23"
"2025-09-20","Nevada",9e-04,"32"
"2025-09-20","New Hampshire",8e-04,"33"
"2025-09-20","New York",6e-04,"36"
"2025-09-20","Oregon",4e-04,"41"
"2025-09-20","South Carolina",9e-04,"45"
"2025-09-20","Tennessee",0.0015,"47"
"2025-09-20","West Virginia",4e-04,"54"
"2025-09-20","Wisconsin",7e-04,"55"
"2025-09-20","Arizona",8e-04,"04"
"2025-09-20","California",0.0013,"06"
"2025-09-20","Delaware",5e-04,"10"
"2025-09-20","District of Columbia",4e-04,"11"
"2025-09-20","Maryland",8e-04,"24"
"2025-09-20","Massachusetts",7e-04,"25"
"2025-09-20","Montana",2e-04,"30"
"2025-09-20","New Mexico",0.0013,"35"
"2025-09-20","North Carolina",0.0081,"37"
"2025-09-20","Oklahoma",8e-04,"40"
"2025-09-20","Pennsylvania",7e-04,"42"
"2025-09-20","US",0.0015,"US"
"2025-09-20","Virginia",0.0011,"51"
"2025-09-20","Alaska",0.0033,"02"
"2025-09-20","Colorado",7e-04,"08"
"2025-09-20","Illinois",7e-04,"17"
"2025-09-20","Indiana",5e-04,"18"
"2025-09-20","Iowa",7e-04,"19"
"2025-09-20","Louisiana",0.0024,"22"
"2025-09-20","Michigan",5e-04,"26"
"2025-09-20","Minnesota",6e-04,"27"
"2025-09-20","Mississippi",0.0021,"28"
"2025-09-20","Nebraska",2e-04,"31"
"2025-09-20","New Jersey",0.0013,"34"
"2025-09-20","Ohio",5e-04,"39"
"2025-09-20","Rhode Island",0.001,"44"
"2025-09-20","Texas",0.0025,"48"
"2025-09-20","Utah",6e-04,"49"
"2025-09-20","Vermont",2e-04,"50"
"2025-09-20","Washington",0.0014,"53"
"2025-09-13","Arizona",5e-04,"04"
"2025-09-13","Arkansas",0.0013,"05"
"2025-09-13","Georgia",8e-04,"13"
"2025-09-13","Hawaii",0.0036,"15"
"2025-09-13","Kansas",8e-04,"20"
"2025-09-13","Louisiana",0.0016,"22"
"2025-09-13","Michigan",5e-04,"26"
"2025-09-13","Montana",4e-04,"30"
"2025-09-13","Oklahoma",0.0017,"40"
"2025-09-13","Tennessee",0.0017,"47"
"2025-09-13","Texas",0.0025,"48"
"2025-09-13","Virginia",0.0011,"51"
"2025-09-13","Washington",0.0014,"53"
"2025-09-13","Alabama",0.0027,"01"
"2025-09-13","Alaska",0.0036,"02"
"2025-09-13","Illinois",5e-04,"17"
"2025-09-13","Kentucky",6e-04,"21"
"2025-09-13","Pennsylvania",7e-04,"42"
"2025-09-13","South Carolina",0.0012,"45"
"2025-09-13","South Dakota",6e-04,"46"
"2025-09-13","California",0.0013,"06"
"2025-09-13","Colorado",9e-04,"08"
"2025-09-13","Mississippi",0.0017,"28"
"2025-09-13","Nebraska",6e-04,"31"
"2025-09-13","New Hampshire",8e-04,"33"
"2025-09-13","New Mexico",5e-04,"35"
"2025-09-13","North Carolina",0.0109,"37"
"2025-09-13","North Dakota",1e-04,"38"
"2025-09-13","Ohio",5e-04,"39"
"2025-09-13","US",0.0016,"US"
"2025-09-13","Utah",0.0013,"49"
"2025-09-13","Vermont",2e-04,"50"
"2025-09-13","West Virginia",5e-04,"54"
"2025-09-13","Wisconsin",6e-04,"55"
"2025-09-13","Wyoming",0,"56"
"2025-09-13","Connecticut",6e-04,"09"
"2025-09-13","Delaware",4e-04,"10"
"2025-09-13","District of Columbia",7e-04,"11"
"2025-09-13","Florida",0.0029,"12"
"2025-09-13","Idaho",0.0014,"16"
"2025-09-13","Indiana",7e-04,"18"
"2025-09-13","Iowa",4e-04,"19"
"2025-09-13","Maine",1e-04,"23"
"2025-09-13","Maryland",0.0012,"24"
"2025-09-13","Massachusetts",7e-04,"25"
"2025-09-13","Minnesota",0.0012,"27"
"2025-09-13","Nevada",9e-04,"32"
"2025-09-13","New Jersey",0.001,"34"
"2025-09-13","New York",5e-04,"36"
"2025-09-13","Oregon",7e-04,"41"
"2025-09-13","Rhode Island",4e-04,"44"
"2025-09-06","Alabama",0.0028,"01"
"2025-09-06","Hawaii",0.0024,"15"
"2025-09-06","Iowa",4e-04,"19"
"2025-09-06","Kansas",5e-04,"20"
"2025-09-06","Kentucky",7e-04,"21"
"2025-09-06","Minnesota",0.0011,"27"
"2025-09-06","Mississippi",0.0029,"28"
"2025-09-06","Montana",3e-04,"30"
"2025-09-06","North Dakota",6e-04,"38"
"2025-09-06","Oregon",8e-04,"41"
"2025-09-06","Texas",0.0026,"48"
"2025-09-06","Utah",8e-04,"49"
"2025-09-06","Alaska",0.004,"02"
"2025-09-06","Florida",0.0033,"12"
"2025-09-06","Maryland",9e-04,"24"
"2025-09-06","Michigan",6e-04,"26"
"2025-09-06","Nevada",9e-04,"32"
"2025-09-06","New Hampshire",0.0011,"33"
"2025-09-06","New York",5e-04,"36"
"2025-09-06","Ohio",4e-04,"39"
"2025-09-06","Pennsylvania",6e-04,"42"
"2025-09-06","Rhode Island",3e-04,"44"
"2025-09-06","South Carolina",0.0011,"45"
"2025-09-06","Tennessee",0.0016,"47"
"2025-09-06","Vermont",2e-04,"50"
"2025-09-06","Virginia",0.0013,"51"
"2025-09-06","Arkansas",5e-04,"05"
"2025-09-06","Georgia",0.0013,"13"
"2025-09-06","Illinois",6e-04,"17"
"2025-09-06","Indiana",6e-04,"18"
"2025-09-06","Massachusetts",6e-04,"25"
"2025-09-06","North Carolina",0.0105,"37"
"2025-09-06","South Dakota",2e-04,"46"
"2025-09-06","US",0.0016,"US"
"2025-09-06","Washington",0.001,"53"
"2025-09-06","West Virginia",4e-04,"54"
"2025-09-06","Wisconsin",4e-04,"55"
"2025-09-06","Wyoming",0,"56"
"2025-09-06","Arizona",8e-04,"04"
"2025-09-06","California",0.0013,"06"
"2025-09-06","Colorado",6e-04,"08"
"2025-09-06","Connecticut",5e-04,"09"
"2025-09-06","Delaware",3e-04,"10"
"2025-09-06","District of Columbia",5e-04,"11"
"2025-09-06","Idaho",9e-04,"16"
"2025-09-06","Louisiana",0.0014,"22"
"2025-09-06","Maine",4e-04,"23"
"2025-09-06","Nebraska",6e-04,"31"
"2025-09-06","New Jersey",0.001,"34"
"2025-09-06","New Mexico",9e-04,"35"
"2025-09-06","Oklahoma",0.0013,"40"
"2025-08-30","Arizona",6e-04,"04"
"2025-08-30","Connecticut",4e-04,"09"
"2025-08-30","Idaho",0.0011,"16"
"2025-08-30","Illinois",5e-04,"17"
"2025-08-30","Kentucky",7e-04,"21"
"2025-08-30","Louisiana",0.0018,"22"
"2025-08-30","Maine",3e-04,"23"
"2025-08-30","Michigan",4e-04,"26"
"2025-08-30","New Hampshire",8e-04,"33"
"2025-08-30","New Jersey",9e-04,"34"
"2025-08-30","North Carolina",0.0079,"37"
"2025-08-30","Oklahoma",0.0012,"40"
"2025-08-30","Pennsylvania",4e-04,"42"
"2025-08-30","Texas",0.0024,"48"
"2025-08-30","US",0.0015,"US"
"2025-08-30","California",0.0012,"06"
"2025-08-30","District of Columbia",0.002,"11"
"2025-08-30","Iowa",5e-04,"19"
"2025-08-30","Maryland",9e-04,"24"
"2025-08-30","Massachusetts",5e-04,"25"
"2025-08-30","Minnesota",6e-04,"27"
"2025-08-30","Montana",8e-04,"30"
"2025-08-30","Nevada",0.0011,"32"
"2025-08-30","Rhode Island",5e-04,"44"
"2025-08-30","South Dakota",2e-04,"46"
"2025-08-30","Washington",8e-04,"53"
"2025-08-30","West Virginia",3e-04,"54"
"2025-08-30","Wisconsin",5e-04,"55"
"2025-08-30","Alaska",0.0022,"02"
"2025-08-30","Delaware",5e-04,"10"
"2025-08-30","Mississippi",0.0027,"28"
"2025-08-30","New Mexico",5e-04,"35"
"2025-08-30","Oregon",5e-04,"41"
"2025-08-30","Utah",8e-04,"49"
"2025-08-30","Wyoming",0,"56"
"2025-08-30","Alabama",0.0029,"01"
"2025-08-30","Arkansas",4e-04,"05"
"2025-08-30","Colorado",6e-04,"08"
"2025-08-30","Florida",0.0032,"12"
"2025-08-30","Georgia",0.0018,"13"
"2025-08-30","Hawaii",0.0025,"15"
"2025-08-30","Indiana",5e-04,"18"
"2025-08-30","Kansas",4e-04,"20"
"2025-08-30","Nebraska",3e-04,"31"
"2025-08-30","New York",5e-04,"36"
"2025-08-30","North Dakota",2e-04,"38"
"2025-08-30","Ohio",3e-04,"39"
"2025-08-30","South Carolina",0.0013,"45"
"2025-08-30","Tennessee",0.0019,"47"
"2025-08-30","Vermont",9e-04,"50"
"2025-08-30","Virginia",0.001,"51"
"2025-08-23","Alabama",0.0023,"01"
"2025-08-23","California",0.0011,"06"
"2025-08-23","District of Columbia",6e-04,"11"
"2025-08-23","Georgia",0.0013,"13"
"2025-08-23","Indiana",4e-04,"18"
"2025-08-23","Maine",2e-04,"23"
"2025-08-23","Maryland",7e-04,"24"
"2025-08-23","Oregon",5e-04,"41"
"2025-08-23","South Dakota",5e-04,"46"
"2025-08-23","Tennessee",0.0012,"47"
"2025-08-23","Utah",6e-04,"49"
"2025-08-23","Virginia",8e-04,"51"
"2025-08-23","Wyoming",0,"56"
"2025-08-23","Arkansas",1e-04,"05"
"2025-08-23","Connecticut",3e-04,"09"
"2025-08-23","Delaware",5e-04,"10"
"2025-08-23","Iowa",3e-04,"19"
