"as_of","target","target_end_date","location","horizon","output_type","output_type_id","oracle_value"
2025-05-24,"wk flu hosp rate change",2024-11-09,"11",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"11",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"12",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"12",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"12",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"12",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"12",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"13",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"13",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"13",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"13",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"13",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"15",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"15",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"15",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"15",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"15",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"16",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"16",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"16",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"16",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"16",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"17",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"17",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"17",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"17",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"17",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"18",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"18",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"18",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"18",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"18",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"19",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"19",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"19",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"19",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"19",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"20",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"20",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"20",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"20",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"20",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"21",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"21",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"21",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"21",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"21",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"22",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"22",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"22",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"22",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"22",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"23",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"23",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"23",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"23",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"23",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"24",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"24",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"24",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"24",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"24",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"25",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"25",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"25",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"25",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"25",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"26",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"26",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"26",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"26",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"26",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"27",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"27",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"27",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"27",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"27",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"28",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"28",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"28",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"28",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"28",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"29",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"29",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"29",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"29",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"29",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"30",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"30",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"30",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"30",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"30",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"31",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"31",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"31",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"31",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"31",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"32",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"32",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"32",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"32",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"32",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"33",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"33",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"33",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"33",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"33",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"34",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"34",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"34",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"34",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"34",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"35",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"35",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"35",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"35",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"35",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"36",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"36",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"36",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"36",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"36",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"37",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"37",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"37",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"37",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"37",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"38",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"38",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"38",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"38",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"38",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"39",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"39",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"39",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"39",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"39",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"40",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"40",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"40",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"40",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"40",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"41",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"41",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"41",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"41",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"41",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"42",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"42",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"42",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"42",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"42",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"44",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"44",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"44",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"44",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"44",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"45",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"45",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"45",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"45",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"45",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"46",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"46",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"46",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"46",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"46",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"47",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"47",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"47",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"47",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"47",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"48",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"48",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"48",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"48",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"48",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"49",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"49",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"49",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"49",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"49",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"50",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"50",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"50",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"50",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"50",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"51",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"51",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"51",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"51",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"51",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"53",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"53",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"53",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"53",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"53",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"54",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"54",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"54",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"54",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"54",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"55",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"55",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"55",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"55",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"55",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"56",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"56",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"56",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"56",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"56",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"72",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"72",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"72",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"72",0,"pmf","large_increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"72",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"US",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"US",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"US",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"US",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"US",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",1,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",1,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",1,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",1,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"01",1,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",1,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",1,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",1,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",1,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"02",1,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",1,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",1,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",1,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",1,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"04",1,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",1,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",1,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",1,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",1,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"05",1,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",1,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",1,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",1,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",1,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"06",1,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",1,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",1,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",1,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",1,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"08",1,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-16,"09",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"09",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"09",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"09",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-16,"09",0,"pmf","stable",1
