"as_of","target","target_end_date","location","location_name","observation","weekly_rate"
2025-01-11,"wk inc flu hosp",2024-11-02,"34","New Jersey",28,0.30137207169943
2025-01-11,"wk inc flu hosp",2024-11-02,"35","New Mexico",2,0.09459077900709
2025-01-11,"wk inc flu hosp",2024-11-02,"36","New York",15,0.0766431682119292
2025-01-11,"wk inc flu hosp",2024-11-02,"37","North Carolina",14,0.129205035563225
2025-01-11,"wk inc flu hosp",2024-11-02,"38","North Dakota",2,0.255126121598212
2025-01-11,"wk inc flu hosp",2024-11-02,"39","Ohio",17,0.144239723025793
2025-01-11,"wk inc flu hosp",2024-11-02,"40","Oklahoma",3,0.0740041994916405
2025-01-11,"wk inc flu hosp",2024-11-02,"41","Oregon",7,0.165353367232348
2025-01-11,"wk inc flu hosp",2024-11-02,"42","Pennsylvania",97,0.74835960731334
2025-01-11,"wk inc flu hosp",2024-11-02,"44","Rhode Island",2,0.182488078966242
2025-01-11,"wk inc flu hosp",2024-11-02,"45","South Carolina",11,0.204706195433005
2025-01-11,"wk inc flu hosp",2024-11-02,"46","South Dakota",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"47","Tennessee",45,0.631446986026359
2025-01-11,"wk inc flu hosp",2024-11-02,"48","Texas",102,0.334390038638769
2025-01-11,"wk inc flu hosp",2024-11-02,"49","Utah",2,0.0585183048183387
2025-01-11,"wk inc flu hosp",2024-11-02,"50","Vermont",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"51","Virginia",16,0.183576805896671
2025-01-11,"wk inc flu hosp",2024-11-02,"53","Washington",2,0.0255987548765628
2025-01-11,"wk inc flu hosp",2024-11-02,"54","West Virginia",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"55","Wisconsin",5,0.0845887001339039
2025-01-11,"wk inc flu hosp",2024-11-02,"56","Wyoming",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"72","Puerto Rico",14,0.436723314879694
2025-01-11,"wk inc flu hosp",2024-11-02,"US","US",984,0.293805983158796
2025-01-11,"wk inc flu hosp",2024-11-09,"01","Alabama",32,0.626410892659012
2025-01-11,"wk inc flu hosp",2024-11-09,"02","Alaska",5,0.681750626528826
2025-01-11,"wk inc flu hosp",2024-11-09,"04","Arizona",291,3.91584617802648
2025-01-11,"wk inc flu hosp",2024-11-09,"05","Arkansas",11,0.358571087696057
2025-01-11,"wk inc flu hosp",2024-11-09,"06","California",158,0.405490099843725
2025-01-11,"wk inc flu hosp",2024-11-09,"08","Colorado",20,0.340274363219064
2025-01-11,"wk inc flu hosp",2024-11-09,"09","Connecticut",4,0.110583504922072
2025-01-11,"wk inc flu hosp",2024-11-09,"10","Delaware",1,0.0969095543129597
2025-01-11,"wk inc flu hosp",2024-11-09,"11","District of Columbia",3,0.44184443541118
2025-01-11,"wk inc flu hosp",2024-11-09,"12","Florida",359,1.58774203004362
2025-01-11,"wk inc flu hosp",2024-11-09,"13","Georgia",41,0.371739560714454
2025-01-11,"wk inc flu hosp",2024-11-09,"15","Hawaii",7,0.48775797170725
2025-01-11,"wk inc flu hosp",2024-11-09,"16","Idaho",8,0.407181459399428
2025-01-11,"wk inc flu hosp",2024-11-09,"17","Illinois",36,0.286859698276188
2025-01-11,"wk inc flu hosp",2024-11-09,"18","Indiana",28,0.40803246889226
2025-01-11,"wk inc flu hosp",2024-11-09,"19","Iowa",4,0.124727003770497
2025-01-11,"wk inc flu hosp",2024-11-09,"20","Kansas",7,0.238051028618495
2025-01-11,"wk inc flu hosp",2024-11-09,"21","Kentucky",16,0.35350100769881
2025-01-11,"wk inc flu hosp",2024-11-09,"22","Louisiana",85,1.85843167169864
2025-01-11,"wk inc flu hosp",2024-11-09,"23","Maine",1,0.0716475057353828
2025-01-11,"wk inc flu hosp",2024-11-09,"24","Maryland",9,0.145625106286102
2025-01-11,"wk inc flu hosp",2024-11-09,"25","Massachusetts",30,0.42848579262516
2025-01-11,"wk inc flu hosp",2024-11-09,"26","Michigan",49,0.488180988817567
2025-01-11,"wk inc flu hosp",2024-11-09,"27","Minnesota",29,0.505410066200005
2025-01-11,"wk inc flu hosp",2024-11-09,"28","Mississippi",23,0.782395422646606
2025-01-11,"wk inc flu hosp",2024-11-09,"29","Missouri",30,0.484171153857327
2025-01-11,"wk inc flu hosp",2024-11-09,"30","Montana",0,0
2025-01-11,"wk inc flu hosp",2024-11-09,"31","Nebraska",4,0.202185728821424
2025-01-11,"wk inc flu hosp",2024-11-09,"32","Nevada",24,0.75136748882967
2025-01-11,"wk inc flu hosp",2024-11-09,"33","New Hampshire",14,0.99853500649761
2025-01-11,"wk inc flu hosp",2024-11-09,"34","New Jersey",30,0.322898648249389
2025-01-11,"wk inc flu hosp",2024-11-09,"35","New Mexico",16,0.75672623205672
2025-01-11,"wk inc flu hosp",2024-11-09,"36","New York",55,0.281024950110407
2025-01-11,"wk inc flu hosp",2024-11-09,"37","North Carolina",27,0.24918114001479
2025-01-11,"wk inc flu hosp",2024-11-09,"38","North Dakota",0,0
2025-01-11,"wk inc flu hosp",2024-11-09,"39","Ohio",24,0.203632550154061
2025-01-11,"wk inc flu hosp",2024-11-09,"40","Oklahoma",13,0.320684864463775
2025-01-11,"wk inc flu hosp",2024-11-09,"41","Oregon",25,0.59054774011553
2025-01-11,"wk inc flu hosp",2024-11-09,"42","Pennsylvania",142,1.09553674472675
2025-01-11,"wk inc flu hosp",2024-11-09,"44","Rhode Island",3,0.273732118449362
2025-01-11,"wk inc flu hosp",2024-11-09,"45","South Carolina",21,0.390802736735736
2025-01-11,"wk inc flu hosp",2024-11-09,"46","South Dakota",2,0.217552577019051
2025-01-11,"wk inc flu hosp",2024-11-09,"47","Tennessee",80,1.12257241960242
2025-01-11,"wk inc flu hosp",2024-11-09,"48","Texas",182,0.596656735610352
2025-01-11,"wk inc flu hosp",2024-11-09,"49","Utah",7,0.204814066864185
2025-01-11,"wk inc flu hosp",2024-11-09,"50","Vermont",0,0
2025-01-11,"wk inc flu hosp",2024-11-09,"51","Virginia",26,0.29831230958209
2025-01-11,"wk inc flu hosp",2024-11-09,"53","Washington",13,0.166391906697658
2025-01-11,"wk inc flu hosp",2024-11-09,"54","West Virginia",6,0.338969453767674
2025-01-11,"wk inc flu hosp",2024-11-09,"55","Wisconsin",12,0.203012880321369
2025-01-11,"wk inc flu hosp",2024-11-09,"56","Wyoming",5,0.856080827727431
2025-01-11,"wk inc flu hosp",2024-11-09,"72","Puerto Rico",43,1.34136446713049
2025-01-11,"wk inc flu hosp",2024-11-09,"US","US",2064,0.616275964674548
2025-01-11,"wk inc flu hosp",2024-11-16,"01","Alabama",44,0.861314977406142
2025-01-11,"wk inc flu hosp",2024-11-16,"02","Alaska",9,1.22715112775189
2025-01-11,"wk inc flu hosp",2024-11-16,"04","Arizona",363,4.88471533547633
2025-01-11,"wk inc flu hosp",2024-11-16,"05","Arkansas",13,0.423765830913522
2025-01-11,"wk inc flu hosp",2024-11-16,"06","California",313,0.803281020576492
2025-01-11,"wk inc flu hosp",2024-11-16,"08","Colorado",29,0.493397826667642
2025-01-11,"wk inc flu hosp",2024-11-16,"09","Connecticut",5,0.13822938115259
2025-01-11,"wk inc flu hosp",2024-11-16,"10","Delaware",4,0.387638217251839
2025-01-11,"wk inc flu hosp",2024-11-16,"11","District of Columbia",1,0.147281478470393
2025-01-11,"wk inc flu hosp",2024-11-16,"12","Florida",375,1.65850490603442
2025-01-11,"wk inc flu hosp",2024-11-16,"13","Georgia",43,0.389873197822477
2025-01-11,"wk inc flu hosp",2024-11-16,"15","Hawaii",15,1.04519565365839
2025-01-11,"wk inc flu hosp",2024-11-16,"16","Idaho",12,0.610772189099142
2025-01-11,"wk inc flu hosp",2024-11-16,"17","Illinois",34,0.270923048371956
2025-01-11,"wk inc flu hosp",2024-11-16,"18","Indiana",26,0.378887292542813
2025-01-11,"wk inc flu hosp",2024-11-16,"19","Iowa",5,0.155908754713122
2025-01-11,"wk inc flu hosp",2024-11-16,"20","Kansas",11,0.374080187829063
2025-01-11,"wk inc flu hosp",2024-11-16,"21","Kentucky",18,0.397688633661161
2025-01-11,"wk inc flu hosp",2024-11-16,"22","Louisiana",84,1.83656776967866
2025-01-11,"wk inc flu hosp",2024-11-16,"23","Maine",0,0
2025-01-11,"wk inc flu hosp",2024-11-16,"24","Maryland",11,0.177986241016347
2025-01-11,"wk inc flu hosp",2024-11-16,"25","Massachusetts",16,0.228525756066752
2025-01-11,"wk inc flu hosp",2024-11-16,"26","Michigan",57,0.567884007400027
2025-01-11,"wk inc flu hosp",2024-11-16,"27","Minnesota",26,0.45312626624828
2025-01-11,"wk inc flu hosp",2024-11-16,"28","Mississippi",24,0.816412614935588
2025-01-11,"wk inc flu hosp",2024-11-16,"29","Missouri",29,0.468032115395416
2025-01-11,"wk inc flu hosp",2024-11-16,"30","Montana",4,0.353103604128487
2025-01-11,"wk inc flu hosp",2024-11-16,"31","Nebraska",6,0.303278593232136
2025-01-11,"wk inc flu hosp",2024-11-16,"32","Nevada",41,1.28358612675069
2025-01-11,"wk inc flu hosp",2024-11-16,"33","New Hampshire",11,0.784563219390979
2025-01-11,"wk inc flu hosp",2024-11-16,"34","New Jersey",37,0.398241666174246
2025-01-11,"wk inc flu hosp",2024-11-16,"35","New Mexico",21,0.993203179574446
2025-01-11,"wk inc flu hosp",2024-11-16,"36","New York",63,0.321901306490103
2025-01-11,"wk inc flu hosp",2024-11-16,"37","North Carolina",38,0.350699382243038
2025-01-11,"wk inc flu hosp",2024-11-16,"38","North Dakota",1,0.127563060799106
2025-01-11,"wk inc flu hosp",2024-11-16,"39","Ohio",40,0.339387583590101
2025-01-11,"wk inc flu hosp",2024-11-16,"40","Oklahoma",13,0.320684864463775
2025-01-11,"wk inc flu hosp",2024-11-16,"41","Oregon",33,0.7795230169525
2025-01-11,"wk inc flu hosp",2024-11-16,"42","Pennsylvania",111,0.8563702722864
2025-01-11,"wk inc flu hosp",2024-11-16,"44","Rhode Island",0,0
2025-01-11,"wk inc flu hosp",2024-11-16,"45","South Carolina",13,0.241925503693551
2025-01-11,"wk inc flu hosp",2024-11-16,"46","South Dakota",0,0
2025-01-11,"wk inc flu hosp",2024-11-16,"47","Tennessee",94,1.31902259303284
2025-01-11,"wk inc flu hosp",2024-11-16,"48","Texas",223,0.731068417808289
2025-01-11,"wk inc flu hosp",2024-11-16,"49","Utah",10,0.292591524091693
2025-01-11,"wk inc flu hosp",2024-11-16,"50","Vermont",3,0.463346224654962
2025-01-11,"wk inc flu hosp",2024-11-16,"51","Virginia",26,0.29831230958209
2025-01-11,"wk inc flu hosp",2024-11-16,"53","Washington",22,0.281586303642191
2025-01-11,"wk inc flu hosp",2024-11-16,"54","West Virginia",4,0.225979635845116
2025-01-11,"wk inc flu hosp",2024-11-16,"55","Wisconsin",6,0.101506440160685
2025-01-11,"wk inc flu hosp",2024-11-16,"56","Wyoming",4,0.684864662181945
2025-01-11,"wk inc flu hosp",2024-11-16,"72","Puerto Rico",77,2.40197823183831
2025-01-11,"wk inc flu hosp",2024-11-16,"US","US",2471,0.737799374375392
2025-01-11,"wk inc flu hosp",2024-11-23,"01","Alabama",50,0.978767019779707
2025-01-11,"wk inc flu hosp",2024-11-23,"02","Alaska",5,0.681750626528826
2025-01-11,"wk inc flu hosp",2024-11-23,"04","Arizona",520,6.99738835936003
2025-01-11,"wk inc flu hosp",2024-11-23,"05","Arkansas",8,0.26077897286986
2025-01-11,"wk inc flu hosp",2024-11-23,"06","California",479,1.2293022647161
2025-01-11,"wk inc flu hosp",2024-11-23,"08","Colorado",31,0.527425262989549
2025-01-11,"wk inc flu hosp",2024-11-23,"09","Connecticut",4,0.110583504922072
2025-01-11,"wk inc flu hosp",2024-11-23,"10","Delaware",7,0.678366880190718
2025-01-11,"wk inc flu hosp",2024-11-23,"11","District of Columbia",8,1.17825182776315
2025-01-11,"wk inc flu hosp",2024-11-23,"12","Florida",422,1.8663708542574
2025-01-11,"wk inc flu hosp",2024-11-23,"13","Georgia",47,0.426140472038521
2025-01-11,"wk inc flu hosp",2024-11-23,"15","Hawaii",8,0.557437681951143
2025-01-11,"wk inc flu hosp",2024-11-23,"16","Idaho",31,1.57782815517278
2025-01-11,"wk inc flu hosp",2024-11-23,"17","Illinois",87,0.693244270834122
2025-01-11,"wk inc flu hosp",2024-11-23,"18","Indiana",32,0.466322821591155
2025-01-11,"wk inc flu hosp",2024-11-23,"19","Iowa",4,0.124727003770497
2025-01-11,"wk inc flu hosp",2024-11-23,"20","Kansas",17,0.578123926644916
2025-01-11,"wk inc flu hosp",2024-11-23,"21","Kentucky",19,0.419782446642337
2025-01-11,"wk inc flu hosp",2024-11-23,"22","Louisiana",78,1.70538435755876
2025-01-11,"wk inc flu hosp",2024-11-23,"23","Maine",0,0
2025-01-11,"wk inc flu hosp",2024-11-23,"24","Maryland",16,0.258889077841959
2025-01-11,"wk inc flu hosp",2024-11-23,"25","Massachusetts",45,0.64272868893774
2025-01-11,"wk inc flu hosp",2024-11-23,"26","Michigan",63,0.627661271336872
2025-01-11,"wk inc flu hosp",2024-11-23,"27","Minnesota",16,0.278846933075865
2025-01-11,"wk inc flu hosp",2024-11-23,"28","Mississippi",35,1.1906017301144
2025-01-11,"wk inc flu hosp",2024-11-23,"29","Missouri",40,0.645561538476436
2025-01-11,"wk inc flu hosp",2024-11-23,"30","Montana",1,0.0882759010321218
2025-01-11,"wk inc flu hosp",2024-11-23,"31","Nebraska",4,0.202185728821424
2025-01-11,"wk inc flu hosp",2024-11-23,"32","Nevada",45,1.40881404155563
2025-01-11,"wk inc flu hosp",2024-11-23,"33","New Hampshire",11,0.784563219390979
2025-01-11,"wk inc flu hosp",2024-11-23,"34","New Jersey",47,0.505874548924042
2025-01-11,"wk inc flu hosp",2024-11-23,"35","New Mexico",28,1.32427090609926
2025-01-11,"wk inc flu hosp",2024-11-23,"36","New York",103,0.52628308838858
2025-01-11,"wk inc flu hosp",2024-11-23,"37","North Carolina",31,0.286096864461426
2025-01-11,"wk inc flu hosp",2024-11-23,"38","North Dakota",3,0.382689182397318
2025-01-11,"wk inc flu hosp",2024-11-23,"39","Ohio",40,0.339387583590101
2025-01-11,"wk inc flu hosp",2024-11-23,"40","Oklahoma",14,0.345352930960989
2025-01-11,"wk inc flu hosp",2024-11-23,"41","Oregon",59,1.39369266667265
2025-01-11,"wk inc flu hosp",2024-11-23,"42","Pennsylvania",134,1.03381636474214
2025-01-11,"wk inc flu hosp",2024-11-23,"44","Rhode Island",2,0.182488078966242
2025-01-11,"wk inc flu hosp",2024-11-23,"45","South Carolina",12,0.223315849563278
2025-01-11,"wk inc flu hosp",2024-11-23,"46","South Dakota",0,0
2025-01-11,"wk inc flu hosp",2024-11-23,"47","Tennessee",58,0.813865004211751
2025-01-11,"wk inc flu hosp",2024-11-23,"48","Texas",270,0.885150102279094
2025-01-11,"wk inc flu hosp",2024-11-23,"49","Utah",20,0.585183048183387
2025-01-11,"wk inc flu hosp",2024-11-23,"50","Vermont",0,0
2025-01-11,"wk inc flu hosp",2024-11-23,"51","Virginia",35,0.401574262898967
2025-01-11,"wk inc flu hosp",2024-11-23,"53","Washington",29,0.371181945710161
2025-01-11,"wk inc flu hosp",2024-11-23,"54","West Virginia",4,0.225979635845116
2025-01-11,"wk inc flu hosp",2024-11-23,"55","Wisconsin",18,0.304519320482054
2025-01-11,"wk inc flu hosp",2024-11-23,"56","Wyoming",8,1.36972932436389
2025-01-11,"wk inc flu hosp",2024-11-23,"72","Puerto Rico",42,1.31016994463908
2025-01-11,"wk inc flu hosp",2024-11-23,"US","US",3093,0.923518197063167
2025-01-11,"wk inc flu hosp",2024-11-30,"01","Alabama",65,1.27239712571362
2025-01-11,"wk inc flu hosp",2024-11-30,"02","Alaska",9,1.22715112775189
2025-01-11,"wk inc flu hosp",2024-11-30,"04","Arizona",590,7.9393444846585
2025-01-11,"wk inc flu hosp",2024-11-30,"05","Arkansas",12,0.391168459304789
2025-01-11,"wk inc flu hosp",2024-11-30,"06","California",687,1.76311201640911
2025-01-11,"wk inc flu hosp",2024-11-30,"08","Colorado",67,1.13991911678386
2025-01-11,"wk inc flu hosp",2024-11-30,"09","Connecticut",10,0.27645876230518
2025-01-11,"wk inc flu hosp",2024-11-30,"10","Delaware",5,0.484547771564799
2025-01-11,"wk inc flu hosp",2024-11-30,"11","District of Columbia",6,0.883688870822361
2025-01-11,"wk inc flu hosp",2024-11-30,"12","Florida",605,2.6757212484022
2025-01-11,"wk inc flu hosp",2024-11-30,"13","Georgia",56,0.507741839024621
2025-01-11,"wk inc flu hosp",2024-11-30,"15","Hawaii",14,0.975515943414501
2025-01-11,"wk inc flu hosp",2024-11-30,"16","Idaho",63,3.20655399277049
2025-01-11,"wk inc flu hosp",2024-11-30,"17","Illinois",83,0.661370971025656
2025-01-11,"wk inc flu hosp",2024-11-30,"18","Indiana",41,0.597476115163667
2025-01-11,"wk inc flu hosp",2024-11-30,"19","Iowa",4,0.124727003770497
2025-01-11,"wk inc flu hosp",2024-11-30,"20","Kansas",20,0.680145796052842
2025-01-11,"wk inc flu hosp",2024-11-30,"21","Kentucky",24,0.530251511548215
2025-01-11,"wk inc flu hosp",2024-11-30,"22","Louisiana",141,3.08281018481775
2025-01-11,"wk inc flu hosp",2024-11-30,"23","Maine",2,0.143295011470766
2025-01-11,"wk inc flu hosp",2024-11-30,"24","Maryland",20,0.323611347302449
2025-01-11,"wk inc flu hosp",2024-11-30,"25","Massachusetts",63,0.899820164512835
2025-01-11,"wk inc flu hosp",2024-11-30,"26","Michigan",69,0.687438535273717
2025-01-11,"wk inc flu hosp",2024-11-30,"27","Minnesota",35,0.609977666103454
2025-01-11,"wk inc flu hosp",2024-11-30,"28","Mississippi",28,0.95248138409152
2025-01-11,"wk inc flu hosp",2024-11-30,"29","Missouri",41,0.661700576938347
2025-01-11,"wk inc flu hosp",2024-11-30,"30","Montana",2,0.176551802064244
2025-01-11,"wk inc flu hosp",2024-11-30,"31","Nebraska",11,0.556010754258916
2025-01-11,"wk inc flu hosp",2024-11-30,"32","Nevada",57,1.78449778597047
2025-01-11,"wk inc flu hosp",2024-11-30,"33","New Hampshire",14,0.99853500649761
2025-01-11,"wk inc flu hosp",2024-11-30,"34","New Jersey",67,0.721140314423635
2025-01-11,"wk inc flu hosp",2024-11-30,"35","New Mexico",55,2.60124642269498
2025-01-11,"wk inc flu hosp",2024-11-30,"36","New York",145,0.740883959381982
2025-01-11,"wk inc flu hosp",2024-11-30,"37","North Carolina",43,0.396844037801333
2025-01-11,"wk inc flu hosp",2024-11-30,"38","North Dakota",1,0.127563060799106
2025-01-11,"wk inc flu hosp",2024-11-30,"39","Ohio",55,0.466657927436389
2025-01-11,"wk inc flu hosp",2024-11-30,"40","Oklahoma",40,0.98672265988854
2025-01-11,"wk inc flu hosp",2024-11-30,"41","Oregon",79,1.86613085876507
2025-01-11,"wk inc flu hosp",2024-11-30,"42","Pennsylvania",115,0.887230462278703
2025-01-11,"wk inc flu hosp",2024-11-30,"44","Rhode Island",6,0.547464236898725
2025-01-11,"wk inc flu hosp",2024-11-30,"45","South Carolina",18,0.334973774344917
2025-01-11,"wk inc flu hosp",2024-11-30,"46","South Dakota",5,0.543881442547628
2025-01-11,"wk inc flu hosp",2024-11-30,"47","Tennessee",60,0.841929314701812
2025-01-11,"wk inc flu hosp",2024-11-30,"48","Texas",403,1.32116848599435
2025-01-11,"wk inc flu hosp",2024-11-30,"49","Utah",20,0.585183048183387
2025-01-11,"wk inc flu hosp",2024-11-30,"50","Vermont",3,0.463346224654962
2025-01-11,"wk inc flu hosp",2024-11-30,"51","Virginia",46,0.527783316952928
2025-01-11,"wk inc flu hosp",2024-11-30,"53","Washington",46,0.588771362160945
2025-01-11,"wk inc flu hosp",2024-11-30,"54","West Virginia",3,0.169484726883837
2025-01-11,"wk inc flu hosp",2024-11-30,"55","Wisconsin",12,0.203012880321369
2025-01-11,"wk inc flu hosp",2024-11-30,"56","Wyoming",4,0.684864662181945
2025-01-11,"wk inc flu hosp",2024-11-30,"72","Puerto Rico",279,8.70327177510247
2025-01-11,"wk inc flu hosp",2024-11-30,"US","US",4353,1.29973317549821
2025-01-11,"wk inc flu hosp",2024-12-07,"01","Alabama",102,1.9966847203506
2025-01-11,"wk inc flu hosp",2024-12-07,"02","Alaska",17,2.31795213019801
2025-01-11,"wk inc flu hosp",2024-12-07,"04","Arizona",884,11.895560210912
2025-01-11,"wk inc flu hosp",2024-12-07,"05","Arkansas",20,0.651947432174649
2025-01-11,"wk inc flu hosp",2024-12-07,"06","California",1061,2.72294301224172
2025-01-11,"wk inc flu hosp",2024-12-07,"08","Colorado",90,1.53123463448579
2025-01-11,"wk inc flu hosp",2024-12-07,"09","Connecticut",13,0.359396390996733
2025-01-11,"wk inc flu hosp",2024-12-07,"10","Delaware",15,1.4536433146944
2025-01-11,"wk inc flu hosp",2024-12-07,"11","District of Columbia",2,0.294562956940787
2025-01-11,"wk inc flu hosp",2024-12-07,"12","Florida",698,3.08703046509873
2025-01-11,"wk inc flu hosp",2024-12-07,"13","Georgia",88,0.797880032752975
2025-01-11,"wk inc flu hosp",2024-12-07,"15","Hawaii",20,1.39359420487786
2025-01-11,"wk inc flu hosp",2024-12-07,"16","Idaho",77,3.91912154671949
2025-01-11,"wk inc flu hosp",2024-12-07,"17","Illinois",105,0.836674119972216
2025-01-11,"wk inc flu hosp",2024-12-07,"18","Indiana",65,0.947218231357033
2025-01-11,"wk inc flu hosp",2024-12-07,"19","Iowa",13,0.405362762254116
2025-01-11,"wk inc flu hosp",2024-12-07,"20","Kansas",35,1.19025514309247
2025-01-11,"wk inc flu hosp",2024-12-07,"21","Kentucky",52,1.14887827502113
2025-01-11,"wk inc flu hosp",2024-12-07,"22","Louisiana",160,3.49822432319745
2025-01-11,"wk inc flu hosp",2024-12-07,"23","Maine",3,0.214942517206149
2025-01-11,"wk inc flu hosp",2024-12-07,"24","Maryland",37,0.59868099250953
2025-01-11,"wk inc flu hosp",2024-12-07,"25","Massachusetts",83,1.18547735959627
2025-01-11,"wk inc flu hosp",2024-12-07,"26","Michigan",99,0.986324854957941
2025-01-11,"wk inc flu hosp",2024-12-07,"27","Minnesota",58,1.01082013240001
2025-01-11,"wk inc flu hosp",2024-12-07,"28","Mississippi",39,1.32667049927033
2025-01-11,"wk inc flu hosp",2024-12-07,"29","Missouri",54,0.871508076943189
2025-01-11,"wk inc flu hosp",2024-12-07,"30","Montana",2,0.176551802064244
2025-01-11,"wk inc flu hosp",2024-12-07,"31","Nebraska",10,0.50546432205356
2025-01-11,"wk inc flu hosp",2024-12-07,"32","Nevada",79,2.47325131739766
2025-01-11,"wk inc flu hosp",2024-12-07,"33","New Hampshire",16,1.1411828645687
2025-01-11,"wk inc flu hosp",2024-12-07,"34","New Jersey",109,1.17319842197278
2025-01-11,"wk inc flu hosp",2024-12-07,"35","New Mexico",103,4.87142511886514
2025-01-11,"wk inc flu hosp",2024-12-07,"36","New York",274,1.40001520600457
2025-01-11,"wk inc flu hosp",2024-12-07,"37","North Carolina",65,0.599880522257829
2025-01-11,"wk inc flu hosp",2024-12-07,"38","North Dakota",2,0.255126121598212
2025-01-11,"wk inc flu hosp",2024-12-07,"39","Ohio",91,0.77210675266748
2025-01-11,"wk inc flu hosp",2024-12-07,"40","Oklahoma",40,0.98672265988854
2025-01-11,"wk inc flu hosp",2024-12-07,"41","Oregon",118,2.7873853333453
2025-01-11,"wk inc flu hosp",2024-12-07,"42","Pennsylvania",175,1.35013331216324
2025-01-11,"wk inc flu hosp",2024-12-07,"44","Rhode Island",10,0.912440394831208
2025-01-11,"wk inc flu hosp",2024-12-07,"45","South Carolina",40,0.744386165210926
2025-01-11,"wk inc flu hosp",2024-12-07,"46","South Dakota",1,0.108776288509526
2025-01-11,"wk inc flu hosp",2024-12-07,"47","Tennessee",115,1.61369785317847
2025-01-11,"wk inc flu hosp",2024-12-07,"48","Texas",531,1.74079520114889
2025-01-11,"wk inc flu hosp",2024-12-07,"49","Utah",64,1.87258575418684
2025-01-11,"wk inc flu hosp",2024-12-07,"50","Vermont",0,0
2025-01-11,"wk inc flu hosp",2024-12-07,"51","Virginia",68,0.78020142506085
2025-01-11,"wk inc flu hosp",2024-12-07,"53","Washington",78,0.998351440185949
2025-01-11,"wk inc flu hosp",2024-12-07,"54","West Virginia",13,0.734433816496626
2025-01-11,"wk inc flu hosp",2024-12-07,"55","Wisconsin",27,0.456778980723081
2025-01-11,"wk inc flu hosp",2024-12-07,"56","Wyoming",5,0.856080827727431
2025-01-11,"wk inc flu hosp",2024-12-07,"72","Puerto Rico",435,13.5696172837619
2025-01-11,"wk inc flu hosp",2024-12-07,"US","US",6361,1.89928847446454
2025-01-11,"wk inc flu hosp",2024-12-14,"01","Alabama",193,3.77804069634967
2025-01-11,"wk inc flu hosp",2024-12-14,"02","Alaska",25,3.40875313264413
2025-01-11,"wk inc flu hosp",2024-12-14,"04","Arizona",995,13.3892334953139
2025-01-11,"wk inc flu hosp",2024-12-14,"05","Arkansas",41,1.33649223595803
2025-01-11,"wk inc flu hosp",2024-12-14,"06","California",1385,3.55445435622505
