"target","location","horizon","target_end_date","output_type_id","oracle_value","as_of"
"wk flu hosp rate change","16",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","16",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","16",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","16",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","16",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","17",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","17",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","17",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","17",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","17",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","18",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","18",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","18",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","18",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","18",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","19",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","19",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","19",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","19",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","19",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","20",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","20",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","20",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","20",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","20",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","21",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","21",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","21",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","21",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","21",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","22",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","22",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","22",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","22",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","22",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","23",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","23",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","23",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","23",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","23",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","24",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","24",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","24",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","24",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","24",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","25",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","25",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","25",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","25",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","25",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","26",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","26",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","26",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","26",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","26",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","27",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","27",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","27",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","27",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","27",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","28",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","28",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","28",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","28",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","28",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","29",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","29",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","29",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","29",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","29",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","30",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","30",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","30",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","30",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","30",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","31",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","31",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","31",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","31",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","31",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","32",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","32",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","32",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","32",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","32",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","33",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","33",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","33",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","33",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","33",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","34",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","34",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","34",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","34",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","34",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","35",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","35",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","35",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","35",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","35",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","36",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","36",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","36",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","36",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","36",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","37",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","37",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","37",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","37",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","37",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","38",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","38",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","38",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","38",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","38",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","39",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","39",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","39",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","39",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","39",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","40",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","40",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","40",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","40",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","40",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","41",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","41",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","41",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","41",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","41",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","42",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","42",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","42",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","42",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","42",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","44",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","44",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","44",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","44",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","44",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","45",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","45",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","45",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","45",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","45",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","46",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","46",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","46",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","46",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","46",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","47",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","47",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","47",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","47",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","47",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","48",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","48",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","48",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","48",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","48",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","49",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","49",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","49",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","49",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","49",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","50",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","50",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","50",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","50",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","50",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","51",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","51",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","51",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","51",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","51",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","53",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","53",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","53",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","53",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","53",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","54",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","54",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","54",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","54",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","54",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","55",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","55",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","55",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","55",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","55",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","56",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","56",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","56",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","56",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","56",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","72",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","72",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","72",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","72",0,2024-11-09,"large_increase",1,2025-04-05
"wk flu hosp rate change","72",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","US",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","US",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","US",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","US",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","US",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","01",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","01",1,2024-11-16,"increase",1,2025-04-05
"wk flu hosp rate change","01",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","01",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","01",1,2024-11-16,"stable",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","02",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","02",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","02",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","02",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","02",1,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","04",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","04",0,2024-11-16,"increase",1,2025-04-05
"wk flu hosp rate change","04",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","04",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","04",0,2024-11-16,"stable",0,2025-04-05
"wk flu hosp rate change","04",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","04",1,2024-11-16,"increase",1,2025-04-05
"wk flu hosp rate change","04",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","04",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","04",1,2024-11-16,"stable",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","05",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","05",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","05",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","05",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","05",1,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","06",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-16,"increase",1,2025-04-05
"wk flu hosp rate change","06",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-16,"stable",0,2025-04-05
"wk flu hosp rate change","06",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","06",1,2024-11-16,"increase",1,2025-04-05
"wk flu hosp rate change","06",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","06",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","06",1,2024-11-16,"stable",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","08",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","08",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","08",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","08",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","08",1,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","09",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","09",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","09",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","09",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","09",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","09",1,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","10",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","10",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","10",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","10",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","10",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","10",1,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","11",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","11",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","11",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","11",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","11",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","11",1,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","12",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","12",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","12",1,2024-11-16,"increase",1,2025-04-05
"wk flu hosp rate change","12",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","12",1,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","12",1,2024-11-16,"stable",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-16,"large_increase",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-16,"stable",1,2025-04-05
"wk flu hosp rate change","13",1,2024-11-16,"decrease",0,2025-04-05
"wk flu hosp rate change","13",1,2024-11-16,"increase",0,2025-04-05
"wk flu hosp rate change","13",1,2024-11-16,"large_decrease",0,2025-04-05
"wk flu hosp rate change","13",1,2024-11-16,"large_increase",0,2025-04-05
