reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,value_median
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.65,292.25,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.7,300.0,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.75,307.8,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.8,316.4,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.85,325.5,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.9,337.2,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.95,355.25,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.975,371.85,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.99,393.8,266.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.01,43.19999999999999,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.025,57.599999999999994,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.05,78.4,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.1,104.0,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.15,123.19999999999999,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.2,139.2,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.25,152.0,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.3,166.4,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.35,177.6,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.4,190.4,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.45,203.2,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.5,216.0,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.55,225.2,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.6,233.6,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.65,242.25,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.7,251.0,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.75,259.7,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.8,268.2,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.85,278.05,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.9,291.2,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.95,310.5,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.975,329.1,216.0
2025-03-22,wk inc flu hosp,2,2025-04-05,01,quantile,0.99,354.45,216.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.01,36.400000000000006,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.025,36.400000000000006,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.05,47.599999999999994,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.1,73.19999999999999,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.15,90.8,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.2,106.8,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.25,119.6,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.3,132.4,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.35,145.2,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.4,158.0,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.45,169.2,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.5,182.0,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.55,191.2,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.6,200.7,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.65,209.3,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.7,218.0,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.75,226.65,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.8,236.0,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.85,246.60000000000002,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.9,260.4,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.95,281.0,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.975,301.625,182.0
2025-03-22,wk inc flu hosp,3,2025-04-12,01,quantile,0.99,328.97,182.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.01,0.0,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.025,0.0,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.05,1.3999999999999986,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.1,6.199999999999999,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.15,9.399999999999999,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.2,12.600000000000001,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.25,15.799999999999997,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.3,17.4,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.35,20.6,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.4,22.200000000000003,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.45,23.799999999999997,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.5,27.0,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.55,28.15,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.6,30.299999999999997,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.65,31.200000000000003,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.7,33.0,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.75,34.6,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.8,36.9,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.85,38.05,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.9,40.599999999999994,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.95,44.25,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.975,48.025000000000006,27.0
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.99,52.56,27.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.01,0.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.025,0.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.05,0.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.1,0.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.15,0.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.2,3.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.25,6.199999999999999,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.3,9.399999999999999,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.35,11.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.4,14.2,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.45,15.8,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.5,19.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.55,21.299999999999997,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.6,23.4,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.65,25.299999999999997,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.7,27.0,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.75,29.450000000000003,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.8,31.599999999999994,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.85,33.45,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.9,36.599999999999994,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.95,41.5,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.975,46.550000000000004,19.0
2025-03-22,wk inc flu hosp,1,2025-03-29,02,quantile,0.99,53.78999999999999,19.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.01,0.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.025,0.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.05,0.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.1,0.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.15,0.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.2,0.7999999999999972,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.25,4.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.3,7.199999999999999,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.35,10.399999999999999,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.4,13.600000000000001,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.45,16.8,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.5,20.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.55,22.299999999999997,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.6,25.5,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.65,27.35,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.7,30.0,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.75,33.3,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.8,36.2,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.85,39.55,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.9,43.199999999999996,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.95,50.75,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.975,57.7,20.0
2025-03-22,wk inc flu hosp,2,2025-04-05,02,quantile,0.99,67.57,20.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.01,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.025,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.05,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.1,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.15,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.2,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.25,0.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.3,2.1999999999999993,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.35,5.399999999999999,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.4,8.600000000000001,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.45,11.8,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.5,15.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.55,18.450000000000003,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.6,20.5,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.65,23.4,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.7,26.0,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.75,29.25,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.8,32.099999999999994,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.85,35.400000000000006,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.9,40.599999999999994,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.95,48.75,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.975,57.05000000000001,15.0
2025-03-22,wk inc flu hosp,3,2025-04-12,02,quantile,0.99,68.96,15.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.01,127.19999999999999,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.025,149.6,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.05,172.0,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.1,197.6,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.15,215.2,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.2,229.6,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.25,242.4,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.3,255.2,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.35,266.4,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.4,277.6,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.45,288.8,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.5,300.0,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.55,308.05,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.6,315.4,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.65,322.05,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.7,330.0,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.75,337.05,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.8,344.1,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.85,351.85,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.9,361.59999999999997,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.95,376.5,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.975,389.9,300.0
2025-03-22,wk inc flu hosp,0,2025-03-22,04,quantile,0.99,407.91999999999996,300.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.01,58.39999999999998,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.025,85.6,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.05,109.6,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.1,140.0,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.15,162.39999999999998,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.2,180.0,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.25,196.0,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.3,212.0,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.35,226.4,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.4,239.2,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.45,253.6,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.5,268.0,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.55,278.35,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.6,287.8,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.65,297.4,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.7,307.0,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.75,316.45,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.8,326.5,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.85,337.7,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.9,351.2,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.95,372.25,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.975,391.975,268.0
2025-03-22,wk inc flu hosp,1,2025-03-29,04,quantile,0.99,418.52,268.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.01,55.79999999999998,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.025,56.599999999999994,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.05,85.39999999999998,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.1,122.19999999999999,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.15,147.79999999999998,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.2,170.2,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.25,189.39999999999998,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.3,208.6,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.35,226.2,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.4,243.8,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.45,261.4,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.5,279.0,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.55,291.65,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.6,304.3,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.65,316.8,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.7,329.0,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.75,341.7,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.8,354.6,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.85,369.1,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.9,387.79999999999995,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.95,416.25,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.975,444.3,279.0
2025-03-22,wk inc flu hosp,2,2025-04-05,04,quantile,0.99,480.64,279.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.01,58.599999999999994,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.025,58.599999999999994,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.05,67.39999999999998,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.1,109.0,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.15,139.39999999999998,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.2,163.4,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.25,187.39999999999998,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.3,208.2,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.35,230.6,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.4,249.8,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.45,270.6,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.5,293.0,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.55,307.95,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.6,323.8,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.65,339.2,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.7,354.0,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.75,369.0,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.8,384.8,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.85,403.5,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.9,426.59999999999997,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.95,463.25,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.975,499.625,293.0
2025-03-22,wk inc flu hosp,3,2025-04-12,04,quantile,0.99,547.89,293.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.01,49.39999999999999,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.025,60.599999999999994,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.05,70.19999999999999,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.1,83.0,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.15,91.0,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.2,99.0,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.25,103.8,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.3,110.2,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.35,116.6,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.4,121.4,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.45,126.2,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.5,131.0,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.55,135.6,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.6,138.7,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.65,142.55,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.7,146.0,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.75,149.05,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.8,152.6,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.85,156.5,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.9,161.39999999999998,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.95,168.5,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.975,175.22500000000002,131.0
2025-03-22,wk inc flu hosp,0,2025-03-22,05,quantile,0.99,184.25,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.01,26.19999999999999,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.025,36.599999999999994,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.05,49.39999999999999,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.1,65.39999999999999,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.15,76.6,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.2,86.19999999999999,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.25,94.19999999999999,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.3,102.2,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.35,110.2,131.0
2025-03-22,wk inc flu hosp,1,2025-03-29,05,quantile,0.4,116.6,131.0
