"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","location_name","model_id"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.8",43,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.85",46,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.9",50,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.95",57,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.975",65,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.99",74,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.01",9,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.025",11,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.05",15,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.1",20,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.15",23,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.2",24,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.25",26,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.3",29,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.35",31,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.4",33,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.45",35,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.5",39,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.55",43,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.6",46,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.65",49,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.7",52,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.75",56,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.8",60,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.85",66,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.9",75,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.95",91,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.975",104,"Alabama","Ensemble"
2025-11-22,"01",1,"wk inc flu hosp",2025-11-29,"quantile","0.99",125,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.01",11,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.025",13,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.05",16,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.1",20,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.15",25,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.2",28,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.25",30,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.3",35,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.35",39,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.4",43,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.45",46,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.5",50,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.55",55,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.6",60,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.65",64,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.7",69,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.75",76,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.8",83,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.85",95,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.9",107,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.95",132,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.975",155,"Alabama","Ensemble"
2025-11-22,"01",2,"wk inc flu hosp",2025-12-06,"quantile","0.99",186,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.01",11,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.025",14,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.05",16,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.1",21,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.15",25,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.2",30,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.25",33,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.3",40,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.35",47,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.4",53,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.45",60,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.5",66,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.55",73,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.6",79,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.65",87,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.7",95,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.75",103,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.8",113,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.85",124,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.9",143,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.95",165,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.975",205,"Alabama","Ensemble"
2025-11-22,"01",3,"wk inc flu hosp",2025-12-13,"quantile","0.99",283,"Alabama","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.01",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.025",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.05",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.1",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.15",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.2",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.25",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.3",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.35",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.4",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.45",0,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.5",1,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.55",1,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.6",1,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.65",2,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.7",2,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.75",2,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.8",3,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.85",3,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.9",4,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.95",5,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.975",6,"Alaska","Ensemble"
2025-11-22,"02",0,"wk inc flu hosp",2025-11-22,"quantile","0.99",7,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.01",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.025",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.05",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.1",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.15",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.2",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.25",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.3",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.35",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.4",0,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.45",1,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.5",2,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.55",2,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.6",2,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.65",2,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.7",3,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.75",3,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.8",4,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.85",5,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.9",6,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.95",7,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.975",9,"Alaska","Ensemble"
2025-11-22,"02",1,"wk inc flu hosp",2025-11-29,"quantile","0.99",11,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.01",0,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.025",0,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.05",0,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.1",0,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.15",0,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.2",1,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.25",1,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.3",1,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.35",1,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.4",1,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.45",1,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.5",2,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.55",2,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.6",3,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.65",3,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.7",4,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.75",4,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.8",5,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.85",6,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.9",7,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.95",9,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.975",11,"Alaska","Ensemble"
2025-11-22,"02",2,"wk inc flu hosp",2025-12-06,"quantile","0.99",13,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.01",0,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.025",0,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.05",0,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.1",0,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.15",0,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.2",1,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.25",1,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.3",1,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.35",1,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.4",1,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.45",2,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.5",2,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.55",3,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.6",3,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.65",4,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.7",4,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.75",5,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.8",6,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.85",7,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.9",9,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.95",12,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.975",13,"Alaska","Ensemble"
2025-11-22,"02",3,"wk inc flu hosp",2025-12-13,"quantile","0.99",18,"Alaska","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.01",2,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.025",4,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.05",6,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.1",7,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.15",9,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.2",11,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.25",12,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.3",13,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.35",16,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.4",18,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.45",21,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.5",24,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.55",25,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.6",28,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.65",30,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.7",33,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.75",36,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.8",39,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.85",43,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.9",48,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.95",61,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.975",69,"Arizona","Ensemble"
2025-11-22,"04",0,"wk inc flu hosp",2025-11-22,"quantile","0.99",85,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.01",3,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.025",4,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.05",6,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.1",7,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.15",9,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.2",12,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.25",14,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.3",19,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.35",22,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.4",26,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.45",30,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.5",34,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.55",37,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.6",40,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.65",46,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.7",49,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.75",54,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.8",60,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.85",68,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.9",83,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.95",104,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.975",127,"Arizona","Ensemble"
2025-11-22,"04",1,"wk inc flu hosp",2025-11-29,"quantile","0.99",162,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.01",2,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.025",4,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.05",5,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.1",7,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.15",9,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.2",14,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.25",18,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.3",26,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.35",32,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.4",37,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.45",42,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.5",48,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.55",52,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.6",58,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.65",62,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.7",69,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.75",75,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.8",84,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.85",97,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.9",125,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.95",163,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.975",189,"Arizona","Ensemble"
2025-11-22,"04",2,"wk inc flu hosp",2025-12-06,"quantile","0.99",287,"Arizona","Ensemble"
2025-11-22,"04",3,"wk inc flu hosp",2025-12-13,"quantile","0.01",2,"Arizona","Ensemble"
2025-11-22,"04",3,"wk inc flu hosp",2025-12-13,"quantile","0.025",4,"Arizona","Ensemble"
2025-11-22,"04",3,"wk inc flu hosp",2025-12-13,"quantile","0.05",5,"Arizona","Ensemble"
2025-11-22,"04",3,"wk inc flu hosp",2025-12-13,"quantile","0.1",7,"Arizona","Ensemble"
