reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2025-09-27,wk inc flu hosp,1,US,quantile,0.1,644.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.15,677.9500000000000,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.2,700.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.25,721.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.3,742.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.35,763.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.4,784.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.45,798.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.5,812.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.55,833.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.6,854.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.65,875.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.7,896.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.75,917.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.8,945.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.85,974.0500000000000,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.9,1029.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.95,1085.3500000000000,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.975,1127.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.99,1197.0,2025-10-04
2025-09-27,wk inc flu hosp,2,US,quantile,0.01,497.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.025,532.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.05,566.65,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.1,595.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.15,623.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.2,651.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.25,677.25,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.3,693.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.35,714.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.4,735.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.45,763.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.5,784.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.55,805.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.6,826.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.65,854.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.7,877.1000000000000,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.75,903.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.8,945.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.85,994.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.9,1050.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.95,1113.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.975,1169.0,2025-10-11
2025-09-27,wk inc flu hosp,2,US,quantile,0.99,1225.07,2025-10-11
2025-09-27,wk inc flu hosp,3,US,quantile,0.01,447.93,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.025,490.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.05,518.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.1,573.3000000000000,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.15,602.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.2,637.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.25,665.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.3,686.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.35,714.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.4,735.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.45,756.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.5,791.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.55,819.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.6,847.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.65,877.4500000000000,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.7,917.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.75,966.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.8,1008.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.85,1058.0500000000000,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.9,1120.7000000000000,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.95,1225.0,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.975,1309.1750000000000,2025-10-18
2025-09-27,wk inc flu hosp,3,US,quantile,0.99,1393.07,2025-10-18
2025-09-27,wk inc flu hosp,-1,1,quantile,0.01,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.025,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.05,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.1,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.15,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.2,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.25,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.3,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.35,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.4,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.45,21.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.5,21.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.55,21.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.6,28.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.65,28.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.7,28.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.75,35.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.8,35.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.85,35.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.9,42.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.95,49.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.975,56.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,1,quantile,0.99,63.0,2025-09-20
2025-09-27,wk inc flu hosp,0,1,quantile,0.01,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.025,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.05,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.1,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.15,14.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.2,14.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.25,14.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.3,21.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.35,21.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.4,21.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.45,28.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.5,28.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.55,28.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.6,35.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.65,35.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.7,35.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.75,42.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.8,42.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.85,49.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.9,56.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.95,63.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.975,70.0,2025-09-27
2025-09-27,wk inc flu hosp,0,1,quantile,0.99,84.0,2025-09-27
2025-09-27,wk inc flu hosp,1,1,quantile,0.01,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.025,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.05,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.1,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.15,14.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.2,14.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.25,21.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.3,21.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.35,28.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.4,28.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.45,35.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.5,35.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.55,42.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.6,42.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.65,42.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.7,49.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.75,49.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.8,56.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.85,63.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.9,70.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.95,84.0,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.975,98.17499999999980,2025-10-04
2025-09-27,wk inc flu hosp,1,1,quantile,0.99,119.0,2025-10-04
2025-09-27,wk inc flu hosp,2,1,quantile,0.01,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.025,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.05,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.1,14.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.15,21.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.2,21.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.25,28.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.3,28.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.35,35.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.4,35.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.45,42.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.5,42.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.55,49.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.6,49.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.65,56.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.7,63.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.75,70.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.8,77.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.85,84.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.9,91.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.95,112.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.975,126.0,2025-10-11
2025-09-27,wk inc flu hosp,2,1,quantile,0.99,161.0,2025-10-11
2025-09-27,wk inc flu hosp,3,1,quantile,0.01,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.025,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.05,14.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.1,21.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.15,21.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.2,28.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.25,35.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.3,35.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.35,42.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.4,42.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.45,49.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.5,56.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.55,56.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.6,63.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.65,70.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.7,77.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.75,84.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.8,98.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.85,112.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.9,133.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.95,161.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.975,196.0,2025-10-18
2025-09-27,wk inc flu hosp,3,1,quantile,0.99,238.2100000000000,2025-10-18
2025-09-27,wk inc flu hosp,-1,2,quantile,0.01,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.025,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.05,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.1,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.15,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.2,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.25,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.3,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.35,0.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.4,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.45,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.5,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.55,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.6,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.65,7.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.7,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.75,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.8,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.85,14.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.9,21.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.95,21.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.975,28.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,2,quantile,0.99,35.0,2025-09-20
2025-09-27,wk inc flu hosp,0,2,quantile,0.01,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.025,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.05,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.1,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.15,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.2,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.25,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.3,0.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.35,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.4,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.45,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.5,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.55,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.6,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.65,7.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.7,14.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.75,14.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.8,14.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.85,21.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.9,21.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.95,28.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.975,35.0,2025-09-27
2025-09-27,wk inc flu hosp,0,2,quantile,0.99,35.0,2025-09-27
2025-09-27,wk inc flu hosp,1,2,quantile,0.01,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.025,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.05,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.1,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.15,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.2,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.25,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.3,0.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.35,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.4,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.45,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.5,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.55,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.6,7.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.65,14.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.7,14.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.75,14.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.8,14.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.85,21.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.9,21.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.95,28.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.975,42.0,2025-10-04
2025-09-27,wk inc flu hosp,1,2,quantile,0.99,42.069999999999900,2025-10-04
2025-09-27,wk inc flu hosp,2,2,quantile,0.01,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.025,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.05,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.1,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.15,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.2,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.25,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.3,0.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.35,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.4,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.45,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.5,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.55,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.6,7.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.65,14.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.7,14.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.75,14.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.8,21.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.85,21.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.9,28.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.95,35.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.975,42.0,2025-10-11
2025-09-27,wk inc flu hosp,2,2,quantile,0.99,56.0,2025-10-11
2025-09-27,wk inc flu hosp,3,2,quantile,0.01,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.025,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.05,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.1,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.15,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.2,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.25,0.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.3,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.35,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.4,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.45,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.5,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.55,7.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.6,14.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.65,14.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.7,14.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.75,21.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.8,21.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.85,28.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.9,35.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.95,42.0,2025-10-18
2025-09-27,wk inc flu hosp,3,2,quantile,0.975,56.0,2025-10-18
