"as_of","target","target_end_date","location","horizon","output_type_id","oracle_value"
2025-04-12,"wk flu hosp rate change",2024-11-09,"10",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"10",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"10",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"10",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"10",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"11",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"11",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"11",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"11",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"11",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"12",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"12",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"12",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"12",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"12",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"13",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"13",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"13",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"13",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"13",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"15",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"15",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"15",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"15",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"15",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"16",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"16",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"16",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"16",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"16",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"17",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"17",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"17",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"17",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"17",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"18",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"18",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"18",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"18",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"18",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"19",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"19",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"19",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"19",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"19",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"20",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"20",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"20",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"20",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"20",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"21",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"21",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"21",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"21",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"21",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"22",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"22",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"22",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"22",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"22",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"23",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"23",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"23",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"23",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"23",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"24",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"24",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"24",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"24",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"24",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"25",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"25",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"25",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"25",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"25",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"26",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"26",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"26",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"26",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"26",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"27",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"27",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"27",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"27",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"27",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"28",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"28",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"28",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"28",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"28",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"29",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"29",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"29",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"29",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"29",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"30",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"30",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"30",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"30",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"30",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"31",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"31",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"31",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"31",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"31",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"32",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"32",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"32",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"32",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"32",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"33",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"33",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"33",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"33",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"33",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"34",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"34",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"34",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"34",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"34",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"35",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"35",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"35",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"35",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"35",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"36",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"36",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"36",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"36",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"36",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"37",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"37",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"37",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"37",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"37",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"38",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"38",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"38",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"38",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"38",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"39",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"39",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"39",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"39",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"39",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"40",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"40",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"40",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"40",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"40",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"41",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"41",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"41",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"41",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"41",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"42",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"42",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"42",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"42",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"42",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"44",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"44",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"44",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"44",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"44",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"45",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"45",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"45",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"45",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"45",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"46",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"46",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"46",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"46",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"46",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"47",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"47",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"47",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"47",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"47",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"48",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"48",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"48",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"48",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"48",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"49",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"49",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"49",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"49",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"49",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"50",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"50",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"50",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"50",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"50",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"51",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"51",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"51",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"51",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"51",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"53",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"53",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"53",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"53",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"53",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"54",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"54",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"54",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"54",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"54",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"55",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"55",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"55",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"55",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"55",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"56",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"56",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"56",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"56",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"56",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"72",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"72",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"72",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"72",0,"large_increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"72",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"US",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"US",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"US",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"US",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"US",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",1,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"01",1,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",1,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"02",1,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",1,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"04",1,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",1,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"05",1,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",1,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"06",1,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",1,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"08",1,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",1,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"09",1,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",1,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"10",1,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",1,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",1,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"11",1,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",1,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",1,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",1,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-16,"12",1,"large_increase",0
