reference_date,target,horizon,target_end_date,location,location_name,output_type,output_type_id,value
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.95,0.02277235028157397
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.975,0.014981093609545524
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.975,0.025439538007273083
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.975,0.0407916347518917
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.975,0.049196185517734886
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.99,0.02443115323131108
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.99,0.04579193285188464
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.99,0.07043057768610757
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.99,0.09349912666200509
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.01,5
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.01,0
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.01,0
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.01,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.025,5
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.025,0
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.025,0
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.025,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.05,5
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.05,0
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.05,0
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.05,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.1,5
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.1,0
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.1,0
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.1,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.15000000000000002,15
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.15000000000000002,4
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.15000000000000002,0
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.15000000000000002,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.2,20
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.2,15
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.2,2
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.2,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.25,24
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.25,21
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.25,12
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.25,0
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.3,26
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.3,25
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.3,18
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.3,3
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.35000000000000003,27
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.35000000000000003,28
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.35000000000000003,24
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.35000000000000003,11
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.4,28
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.4,31
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.4,29
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.4,19
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.45,30
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.45,35
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.45,35
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.45,29
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.5,32
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.5,38
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.5,40
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.5,37
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.55,33
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.55,41
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.55,44
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.55,43
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.6000000000000001,34
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.6000000000000001,42
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.6000000000000001,48
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.6000000000000001,48
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.6500000000000001,35
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.6500000000000001,45
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.6500000000000001,51
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.6500000000000001,54
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.7000000000000001,36
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.7000000000000001,47
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.7000000000000001,55
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.7000000000000001,60
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.7500000000000001,38
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.7500000000000001,49
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.7500000000000001,59
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.7500000000000001,65
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.8,38
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.8,51
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.8,62
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.8,71
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.8500000000000001,40
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.8500000000000001,55
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.8500000000000001,68
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.8500000000000001,78
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.9000000000000001,46
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.9000000000000001,71
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.9000000000000001,96
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.9000000000000001,120
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.95,53
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.95,91
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.95,135
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.95,185
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.975,69
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.975,141
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.975,258
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.975,400
2025-11-29,wk inc flu hosp,0,2025-11-29,01,Alabama,quantile,0.99,147
2025-11-29,wk inc flu hosp,1,2025-12-06,01,Alabama,quantile,0.99,292
2025-11-29,wk inc flu hosp,2,2025-12-13,01,Alabama,quantile,0.99,463
2025-11-29,wk inc flu hosp,3,2025-12-20,01,Alabama,quantile,0.99,649
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.01,0.0032172993506947452
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.01,0.002812388266389706
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.01,0.0018101666442001353
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.01,1.9619191951985833e-4
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.025,0.0032172993506947452
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.025,0.002812388266389706
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.025,0.0018101666442001353
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.025,1.9619191951985833e-4
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.05,0.0032172993506947452
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.05,0.002812388266389706
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.05,0.0018101666442001353
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.05,1.9619191951985833e-4
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.1,0.0032172993506947452
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.1,0.0029790573140886976
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.1,0.0023442690541041443
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.1,0.0016710251502700408
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.15000000000000002,0.003467786555320683
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.15000000000000002,0.00366504568278759
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.15000000000000002,0.0035123992176395286
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.15000000000000002,0.003254156677708293
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.2,0.003918710853766702
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.2,0.004383803229739552
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.2,0.0045797613398630855
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.2,0.0045885441216974195
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.25,0.004071959735519606
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.25,0.004755879800270007
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.25,0.0052462304442850854
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.25,0.005453510359580411
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.3,0.0042144277859442235
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.3,0.005060559885555408
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.3,0.005687871211840658
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.3,0.00611847738096215
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.35000000000000003,0.0043143292136707916
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.35000000000000003,0.005272354766408729
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.35000000000000003,0.006018038142705654
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.35000000000000003,0.00661104117664441
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.4,0.004400807624152519
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.4,0.005454485316542666
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.4,0.006310770223872597
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.4,0.007011431314130273
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.45,0.004471757043352408
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.45,0.005578132428202971
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.45,0.006537754845766963
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.45,0.00732024936699868
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.5,0.0045521911544805956
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.5,0.005727771189194517
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.5,0.006751741386141997
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.5,0.007607678531326979
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.55,0.004586373526654312
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.55,0.0058181990860071585
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.55,0.006913343025640653
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.55,0.00783881321877314
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.6000000000000001,0.004633191847630438
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.6000000000000001,0.005938284299647206
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.6000000000000001,0.007117541834249119
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.6000000000000001,0.008106809843307711
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.6500000000000001,0.004703740119796083
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.6500000000000001,0.006088081523704559
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.6500000000000001,0.007362045799129007
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.6500000000000001,0.008418784095066578
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.7000000000000001,0.004734958680752554
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.7000000000000001,0.006190053447571699
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.7000000000000001,0.007519293991665652
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.7000000000000001,0.00866355852345414
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.7500000000000001,0.004753372815733846
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.7500000000000001,0.006265474190311387
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.7500000000000001,0.007651166096440331
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.7500000000000001,0.008895403543066654
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.8,0.004804514696379716
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.8,0.006371895394882683
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.8,0.007814693204769428
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.8,0.009146050402375629
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.8500000000000001,0.004855410748085966
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.8500000000000001,0.006473342724737755
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.8500000000000001,0.008015166768256412
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.8500000000000001,0.009445950221848784
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.9000000000000001,0.005095891979834125
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.9000000000000001,0.006832829309168235
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.9000000000000001,0.008579317872533177
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.9000000000000001,0.010289854869922156
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.95,0.005496393710227709
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.95,0.00765698012024428
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.95,0.009763209430920516
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.95,0.011780387335664777
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.975,0.006019890027365158
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,02,Alaska,quantile,0.975,0.008866648612193186
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,02,Alaska,quantile,0.975,0.011671923818695779
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,02,Alaska,quantile,0.975,0.014444529442825187
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,02,Alaska,quantile,0.99,0.007917931467231479
