horizon,location,output_type,output_type_id,reference_date,target,target_end_date,total,value
3,01,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-25,,998.0
3,01,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-25,,1043.0
3,01,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-25,,1090.0
3,01,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-25,,1144.0
3,01,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-25,,1203.0
3,01,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-25,,1278.0
3,01,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-25,,1370.0
3,01,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-25,,1494.0
3,01,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-25,,1710.0
3,01,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-25,,1924.0
3,01,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-25,,2275.0
-1,02,quantile,0.01,2025-01-04,wk inc flu hosp,2024-12-28,,9.0
-1,02,quantile,0.025,2025-01-04,wk inc flu hosp,2024-12-28,,11.0
-1,02,quantile,0.05,2025-01-04,wk inc flu hosp,2024-12-28,,12.0
-1,02,quantile,0.1,2025-01-04,wk inc flu hosp,2024-12-28,,14.0
-1,02,quantile,0.15,2025-01-04,wk inc flu hosp,2024-12-28,,15.0
-1,02,quantile,0.2,2025-01-04,wk inc flu hosp,2024-12-28,,15.0
-1,02,quantile,0.25,2025-01-04,wk inc flu hosp,2024-12-28,,16.0
-1,02,quantile,0.3,2025-01-04,wk inc flu hosp,2024-12-28,,17.0
-1,02,quantile,0.35,2025-01-04,wk inc flu hosp,2024-12-28,,17.0
-1,02,quantile,0.4,2025-01-04,wk inc flu hosp,2024-12-28,,18.0
-1,02,quantile,0.45,2025-01-04,wk inc flu hosp,2024-12-28,,19.0
-1,02,quantile,0.5,2025-01-04,wk inc flu hosp,2024-12-28,,20.0
-1,02,quantile,0.55,2025-01-04,wk inc flu hosp,2024-12-28,,21.0
-1,02,quantile,0.6,2025-01-04,wk inc flu hosp,2024-12-28,,21.0
-1,02,quantile,0.65,2025-01-04,wk inc flu hosp,2024-12-28,,22.0
-1,02,quantile,0.7,2025-01-04,wk inc flu hosp,2024-12-28,,22.0
-1,02,quantile,0.75,2025-01-04,wk inc flu hosp,2024-12-28,,23.0
-1,02,quantile,0.8,2025-01-04,wk inc flu hosp,2024-12-28,,24.0
-1,02,quantile,0.85,2025-01-04,wk inc flu hosp,2024-12-28,,24.0
-1,02,quantile,0.9,2025-01-04,wk inc flu hosp,2024-12-28,,25.0
-1,02,quantile,0.95,2025-01-04,wk inc flu hosp,2024-12-28,,27.0
-1,02,quantile,0.975,2025-01-04,wk inc flu hosp,2024-12-28,,28.0
-1,02,quantile,0.99,2025-01-04,wk inc flu hosp,2024-12-28,,30.0
0,02,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-04,,8.0
0,02,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-04,,10.0
0,02,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-04,,12.0
0,02,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-04,,14.0
0,02,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-04,,15.0
0,02,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-04,,16.0
0,02,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-04,,17.0
0,02,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-04,,18.0
0,02,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-04,,18.0
0,02,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-04,,19.0
0,02,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-04,,20.0
0,02,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-04,,21.0
0,02,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-04,,22.0
0,02,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-04,,23.0
0,02,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-04,,23.0
0,02,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-04,,24.0
0,02,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-04,,25.0
0,02,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-04,,26.0
0,02,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-04,,27.0
0,02,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-04,,28.0
0,02,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-04,,30.0
0,02,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-04,,32.0
0,02,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-04,,33.0
1,02,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-11,,7.0
1,02,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-11,,9.0
1,02,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-11,,11.0
1,02,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-11,,13.0
1,02,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-11,,14.0
1,02,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-11,,16.0
1,02,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-11,,17.0
1,02,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-11,,18.0
1,02,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-11,,19.0
1,02,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-11,,19.0
1,02,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-11,,20.0
1,02,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-11,,22.0
1,02,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-11,,23.0
1,02,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-11,,24.0
1,02,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-11,,24.0
1,02,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-11,,25.0
1,02,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-11,,26.0
1,02,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-11,,27.0
1,02,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-11,,29.0
1,02,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-11,,30.0
1,02,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-11,,32.0
1,02,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-11,,35.0
1,02,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-11,,37.0
2,02,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-18,,8.0
2,02,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-18,,9.0
2,02,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-18,,10.0
2,02,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-18,,12.0
2,02,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-18,,14.0
2,02,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-18,,15.0
2,02,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-18,,17.0
2,02,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-18,,18.0
2,02,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-18,,19.0
2,02,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-18,,20.0
2,02,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-18,,21.0
2,02,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-18,,23.0
2,02,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-18,,24.0
2,02,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-18,,25.0
2,02,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-18,,26.0
2,02,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-18,,27.0
2,02,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-18,,28.0
2,02,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-18,,29.0
2,02,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-18,,30.0
2,02,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-18,,32.0
2,02,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-18,,35.0
2,02,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-18,,37.0
2,02,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-18,,40.0
3,02,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-25,,8.0
3,02,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-25,,9.0
3,02,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-25,,10.0
3,02,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-25,,12.0
3,02,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-25,,14.0
3,02,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-25,,15.0
3,02,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-25,,17.0
3,02,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-25,,18.0
3,02,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-25,,19.0
3,02,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-25,,20.0
3,02,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-25,,21.0
3,02,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-25,,23.0
3,02,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-25,,24.0
3,02,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-25,,26.0
3,02,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-25,,27.0
3,02,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-25,,28.0
3,02,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-25,,29.0
3,02,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-25,,30.0
3,02,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-25,,32.0
3,02,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-25,,34.0
3,02,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-25,,37.0
3,02,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-25,,40.0
3,02,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-25,,42.0
-1,04,quantile,0.01,2025-01-04,wk inc flu hosp,2024-12-28,,1543.0
-1,04,quantile,0.025,2025-01-04,wk inc flu hosp,2024-12-28,,1614.0
-1,04,quantile,0.05,2025-01-04,wk inc flu hosp,2024-12-28,,1688.0
-1,04,quantile,0.1,2025-01-04,wk inc flu hosp,2024-12-28,,1777.0
-1,04,quantile,0.15,2025-01-04,wk inc flu hosp,2024-12-28,,1837.0
-1,04,quantile,0.2,2025-01-04,wk inc flu hosp,2024-12-28,,1888.0
-1,04,quantile,0.25,2025-01-04,wk inc flu hosp,2024-12-28,,1934.0
-1,04,quantile,0.3,2025-01-04,wk inc flu hosp,2024-12-28,,1975.0
-1,04,quantile,0.35,2025-01-04,wk inc flu hosp,2024-12-28,,2015.0
-1,04,quantile,0.4,2025-01-04,wk inc flu hosp,2024-12-28,,2052.0
-1,04,quantile,0.45,2025-01-04,wk inc flu hosp,2024-12-28,,2093.0
-1,04,quantile,0.5,2025-01-04,wk inc flu hosp,2024-12-28,,2137.0
-1,04,quantile,0.55,2025-01-04,wk inc flu hosp,2024-12-28,,2176.0
-1,04,quantile,0.6,2025-01-04,wk inc flu hosp,2024-12-28,,2220.0
-1,04,quantile,0.65,2025-01-04,wk inc flu hosp,2024-12-28,,2263.0
-1,04,quantile,0.7,2025-01-04,wk inc flu hosp,2024-12-28,,2314.0
-1,04,quantile,0.75,2025-01-04,wk inc flu hosp,2024-12-28,,2374.0
-1,04,quantile,0.8,2025-01-04,wk inc flu hosp,2024-12-28,,2438.0
-1,04,quantile,0.85,2025-01-04,wk inc flu hosp,2024-12-28,,2522.0
-1,04,quantile,0.9,2025-01-04,wk inc flu hosp,2024-12-28,,2632.0
-1,04,quantile,0.95,2025-01-04,wk inc flu hosp,2024-12-28,,2810.0
-1,04,quantile,0.975,2025-01-04,wk inc flu hosp,2024-12-28,,2983.0
-1,04,quantile,0.99,2025-01-04,wk inc flu hosp,2024-12-28,,3198.0
0,04,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-04,,1847.0
0,04,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-04,,1947.0
0,04,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-04,,2042.0
0,04,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-04,,2156.0
0,04,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-04,,2238.0
0,04,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-04,,2313.0
0,04,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-04,,2376.0
0,04,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-04,,2431.0
0,04,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-04,,2484.0
0,04,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-04,,2536.0
0,04,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-04,,2591.0
0,04,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-04,,2643.0
0,04,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-04,,2703.0
0,04,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-04,,2761.0
0,04,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-04,,2825.0
0,04,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-04,,2894.0
0,04,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-04,,2971.0
0,04,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-04,,3062.0
0,04,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-04,,3173.0
0,04,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-04,,3319.0
0,04,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-04,,3559.0
0,04,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-04,,3772.0
0,04,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-04,,4058.0
1,04,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-11,,1971.0
1,04,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-11,,2093.0
1,04,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-11,,2222.0
1,04,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-11,,2361.0
1,04,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-11,,2464.0
1,04,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-11,,2547.0
1,04,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-11,,2625.0
1,04,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-11,,2692.0
1,04,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-11,,2756.0
1,04,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-11,,2822.0
1,04,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-11,,2888.0
1,04,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-11,,2958.0
1,04,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-11,,3025.0
1,04,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-11,,3097.0
1,04,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-11,,3175.0
1,04,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-11,,3260.0
1,04,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-11,,3354.0
1,04,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-11,,3456.0
1,04,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-11,,3582.0
1,04,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-11,,3761.0
1,04,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-11,,4058.0
1,04,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-11,,4361.0
1,04,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-11,,4700.0
2,04,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-18,,2039.0
2,04,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-18,,2202.0
2,04,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-18,,2355.0
2,04,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-18,,2530.0
2,04,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-18,,2659.0
2,04,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-18,,2768.0
2,04,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-18,,2859.0
2,04,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-18,,2944.0
2,04,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-18,,3026.0
2,04,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-18,,3099.0
2,04,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-18,,3177.0
2,04,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-18,,3256.0
2,04,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-18,,3339.0
2,04,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-18,,3424.0
2,04,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-18,,3514.0
2,04,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-18,,3619.0
2,04,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-18,,3727.0
2,04,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-18,,3849.0
2,04,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-18,,4004.0
2,04,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-18,,4220.0
2,04,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-18,,4558.0
2,04,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-18,,4898.0
2,04,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-18,,5339.0
3,04,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-25,,2013.0
3,04,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-25,,2198.0
3,04,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-25,,2379.0
3,04,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-25,,2606.0
3,04,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-25,,2755.0
3,04,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-25,,2890.0
3,04,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-25,,3014.0
3,04,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-25,,3132.0
3,04,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-25,,3243.0
3,04,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-25,,3352.0
3,04,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-25,,3468.0
3,04,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-25,,3579.0
