"model_id","location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"UMass-flusion","01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.99",121.978733326011
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.01",18.017238815724
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.025",22.9264919255659
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.05",28.2387700113349
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.1",35.6802681468436
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.15",41.5755282027303
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.2",46.7899335753701
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.25",50.1982106749535
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.3",54.126513641313
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.35",55.9231508928206
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.4",59.0572440667679
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.45",62.0399568266178
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.5",65.044551715732
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.55",69.4615372705321
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.6",72.1150721315716
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.65",77.3859262126587
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.7",82.6640359109088
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.75",88.5035804383602
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.8",95.4130408018787
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.85",103.388309789287
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.9",115.330465158378
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.95",138.540247783388
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.975",162.343597247579
"UMass-flusion","01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.99",189.299659755969
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.01",16.2278136799844
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.025",21.1044527869661
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.05",26.8166996549556
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.1",36.0512591247802
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.15",43.0238727198934
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.2",49.42929348092
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.25",55.0075578489005
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.3",59.9028985883311
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.35",64.0451338915384
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.4",67.9815150917629
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.45",72.0949096614742
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.5",77.5503465649031
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.55",83.7809704652238
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.6",88.304268602792
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.65",95.6738855981105
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.7",103.596187655392
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.75",111.315073791983
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.8",116.411096378053
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.85",128.442512433319
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.9",142.652852771692
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.95",172.473975018912
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.975",208.28735324233
"UMass-flusion","01",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.99",251.73054344507
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.01",12.7986093194023
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.025",19.1719250428386
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.05",25.6243159855594
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.1",35.2805344002286
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.15",43.0992879267576
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.2",49.8352543632678
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.25",55.255385906291
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.3",61.3360491228914
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.35",66.7165794320762
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.4",72.244982739369
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.45",78.0279993905101
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.5",84.8536189240604
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.55",91.4831150523574
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.6",98.5554003820667
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.65",107.615808161551
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.7",116.498427290121
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.75",126.187156532316
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.8",134.713647408911
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.85",147.085202732148
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.9",165.30854723512
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.95",204.152419664066
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.975",247.505137511337
"UMass-flusion","01",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.99",308.034641804336
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.01",0.706120167869973
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.025",1.37855407192103
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.05",2.105723489277
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.1",2.94040317818601
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.15",3.61453753220442
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.2",4.30613173294128
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.25",4.71348546733697
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.3",5.1410921963635
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.35",5.56864921522086
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.4",6.04462690295515
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.45",6.52883143348845
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.5",7.04081866128592
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.55",7.51776263899413
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.6",8.00038453844462
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.65",8.61198920968953
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.7",9.29377417256338
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.75",10.0789856612336
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.8",10.9379024853172
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.85",11.9196945670219
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.9",13.5823234678147
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.95",16.0922084909684
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.975",18.0340802442898
"UMass-flusion","02",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.99",20.3271090221049
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.01",0.553164337008455
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.025",1.01191849453808
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.05",1.45967644261223
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.1",2.38824473110134
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.15",3.16197307563411
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.2",4.00748402296146
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.25",4.54402273455831
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.3",5.18565826747078
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.35",5.85962186093829
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.4",6.57124765568118
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.45",7.31081725289434
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.5",8.06784386042293
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.55",8.90973921342965
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.6",9.59026007443824
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.65",10.5896239946119
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.7",11.4953048690765
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.75",12.6969323271017
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.8",13.9880890804866
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.85",15.750670964586
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.9",18.2296679564982
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.95",22.5964760459527
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.975",27.1235238124259
"UMass-flusion","02",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.99",32.0553134656507
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.01",0.495838846515764
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.025",0.985943346831126
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.05",1.42456753232098
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.1",1.97303596384654
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.15",2.78118442744022
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.2",3.84604088518199
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.25",4.42469277456886
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.3",5.19010325776196
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.35",6.12916068502722
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.4",7.05681692951462
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.45",7.79095992619491
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.5",8.82568404025101
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.55",9.78552992256818
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.6",10.7967868924991
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.65",12.2034460031192
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.7",13.7494707250156
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.75",15.2789217216737
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.8",16.7197250171811
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.85",18.6581058678393
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.9",22.393181068077
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.95",28.6318593036094
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.975",35.4879712769483
"UMass-flusion","02",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.99",42.9324895519477
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.01",0.483621113511455
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.025",0.969116063505184
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.05",1.43442606209189
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.1",1.87611041688102
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.15",2.44939201114908
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.2",3.53058545965681
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.25",4.15777450562304
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.3",5.06923296842326
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.35",6.01076905877616
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.4",7.02837998865472
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.45",8.06761774955668
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.5",9.32556128087809
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.55",10.4567925088709
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.6",11.7624742370167
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.65",13.4950640565994
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.7",15.2239558036895
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.75",17.1180692340097
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.8",19.1138554135541
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.85",21.5482981078328
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.9",26.5892424641623
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.95",35.2976638589693
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.975",44.5559141251154
"UMass-flusion","02",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.99",56.4339966755884
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.01",210.279746866329
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.025",235.424082303254
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.05",260.248517747684
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.1",295.064317475528
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.15",320.522042646364
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.2",340.061672575899
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.25",354.985468395957
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.3",372.88455738881
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.35",384.412999728785
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.4",391.963529714
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.45",403.214323903628
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.5",413.485591562394
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.55",424.197227941768
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.6",437.885556911199
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.65",448.848089693992
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.7",464.67426990561
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.75",484.552519455492
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.8",508.288826756764
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.85",538.049372141398
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.9",578.241111364082
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.95",649.658356356559
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.975",694.526581554243
"UMass-flusion","04",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.99",775.217801205063
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.01",182.310049912656
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.025",208.131857317066
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.05",238.939805421792
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.1",280.557839996188
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.15",315.180051860832
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.2",337.360984423395
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.25",359.565722138096
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.3",382.199674789001
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.35",398.9230487415
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.4",416.474977728203
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.45",433.667600841547
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.5",454.786971146759
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.55",473.484661982983
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.6",491.666363776561
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.65",510.097352254823
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.7",532.59718734749
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.75",563.100993443458
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.8",592.851144855044
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.85",636.887993359423
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.9",697.536957200297
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.95",796.108745884231
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.975",939.937085613053
"UMass-flusion","04",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.99",1083.67152759623
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.01",151.94366865017
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.025",183.341221442169
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.05",218.068710053747
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.1",261.222450524764
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.15",300.668243771817
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.2",332.160896603596
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.25",357.835771772268
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.3",387.172585209487
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.35",409.694980963363
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.4",429.467936662886
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.45",453.237488780339
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.5",478.242312454083
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.55",501.37201890391
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.6",533.436841417378
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.65",563.139379349483
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.7",594.303969573346
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.75",635.061481011335
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.8",667.817808427425
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.85",714.884411365141
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.9",793.837783329389
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.95",946.079854364793
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.975",1113.65843996598
"UMass-flusion","04",2,2024-12-07,2024-11-23,"wk inc flu hosp","quantile","0.99",1313.17668877778
"UMass-flusion","04",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.01",133.584467397467
"UMass-flusion","04",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.025",156.930127328493
"UMass-flusion","04",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.05",194.425896455887
"UMass-flusion","04",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.1",246.737481041254
"UMass-flusion","04",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.15",284.139178195549
"UMass-flusion","04",3,2024-12-14,2024-11-23,"wk inc flu hosp","quantile","0.2",314.031377142275
