"","reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"32",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.35,125.021854956514
"33",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.4,129.783209600752
"34",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.45,134.257763201994
"35",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.5,138.410689591571
"36",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.55,143.093965616745
"37",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.6,147.726519022718
"38",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.65,152.375127570582
"39",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.7,157.325820158842
"40",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.75,162.770271545469
"41",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.8,168.721177202422
"42",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.85,175.618129288375
"43",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.9,184.430747218374
"44",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.95,197.603892956966
"45",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.975,209.164865912077
"46",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.99,221.873279806679
"47",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.01,13.2227596857091
"48",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.025,29.3455354618002
"49",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.05,43.2917051849181
"50",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.1,59.1941584101479
"51",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.15,70.1058641809564
"52",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.2,78.7929051270714
"53",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.25,86.1121027439812
"54",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.3,92.6926264272741
"55",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.35,98.8987863291521
"56",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.4,104.727052765536
"57",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.45,110.398069938994
"58",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.5,115.452856489363
"59",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.55,121.526050994007
"60",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.6,127.217808373121
"61",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.65,133.042604656851
"62",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.7,139.238370279076
"63",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.75,145.847270593686
"64",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.8,153.193330146285
"65",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.85,161.803760857728
"66",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.9,172.957224372685
"67",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.95,189.603748422999
"68",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.975,203.611265686657
"69",2024-03-30,"wk inc flu hosp",1,2024-04-06,"06","quantile",0.99,220.033097270092
"70",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.01,0
"71",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.025,0
"72",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.05,8.16230461419827
"73",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.1,26.9368287000797
"74",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.15,39.538207470647
"75",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.2,49.6014869259734
"76",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.25,58.1399706128063
"77",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.3,65.8123055463093
"78",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.35,73.0315752231445
"79",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.4,79.9895479258548
"80",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.45,86.6104924915653
"81",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.5,92.5867125856485
"82",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.55,99.4409192164523
"83",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.6,106.013144263837
"84",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.65,112.756744145063
"85",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.7,119.937367956091
"86",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.75,127.802465291822
"87",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.8,136.51998978133
"88",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.85,146.752101234474
"89",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.9,159.522823166278
"90",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.95,178.447591199508
"91",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.975,194.994017524483
"92",2024-03-30,"wk inc flu hosp",2,2024-04-13,"06","quantile",0.99,214.162189877733
"93",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.01,0
"94",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.025,0
"95",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.05,0
"96",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.1,0
"97",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.15,9.94910700740338
"98",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.2,21.2480214579127
"99",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.25,30.9376093918526
"100",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.3,39.5867812929033
"101",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.35,47.6326205884943
"102",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.4,55.3412089870546
"103",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.45,62.6958469550309
"104",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.5,69.7405583259213
"105",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.55,77.3599247502432
"106",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.6,84.8061768194812
"107",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.65,92.4651710201075
"108",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.7,100.694041830966
"109",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.75,109.500995789916
"110",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.8,119.329112179228
"111",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.85,130.807353207575
"112",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.9,144.957577909275
"113",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.95,166.138904908285
"114",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.975,184.747159795798
"115",2024-03-30,"wk inc flu hosp",3,2024-04-20,"06","quantile",0.99,206.088976965953
